mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	lyrics_1	dynamics	articulation	slur	decrescendo_hairpin	crescendo_line
28	23	69	78	1.0		1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	279			articStaccatoBelow			
29	24	70	79	1.0		0	0	Chord	3/4	1	1	1/4	1/4	1	280			articStaccatoBelow			
29	24	70	79	1.0		0	0	Chord	3/4	2	1	1/4	1/4	1	281			articStaccatoBelow			
30	24	72	81	0.0		0	1/2	Dynamic	3/4	1	1	0					p				
30	24	72	81	1.0		0	1/2	Chord	3/4	1	1	1/4	1/4	1	282	p		articStaccatoBelow			
30	24	72	81	1.0		0	1/2	Chord	3/4	2	1	1/4	1/4	1	283			articStaccatoBelow			
31	25	73	82	2.0		0	0	Chord	3/4	1	1	1/2	1/2	1	284						
31	25	75	84	1.0		1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	285			articStaccatoBelow			
31	25	73	82	2.0		0	0	Chord	3/4	2	1	1/2	1/2	1	286						
31	25	75	84	1.0		1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	287			articStaccatoBelow			
32	26	76	85	2.0		0	0	Chord	3/4	1	1	1/2	1/2	1	288						
32	26	78	87	0.0		1/2	1/2	Spanner	3/4	1	1	0									2
32	26	78	87	1.0		1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	289			articStaccatoBelow			2
32	26	76	85	2.0		0	0	Chord	3/4	2	1	1/2	1/2	1	290						
32	26	78	87	1.0		1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	291			articStaccatoBelow			
33	27	79	88	0.0		0	0	Spanner	3/4	1	1	0									
33	27	79	88	1.0		0	0	Chord	3/4	1	1	1/4	1/4	1	292			articStaccatoAbove			
33	27	80	89	1.0		1/4	1/4	Chord	3/4	1	1	1/4	1/4	1	293			articStaccatoBelow			
33	27	81	90	1.0		1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	294			articStaccatoAbove			
33	27	79	88	1.0		0	0	Chord	3/4	2	1	1/4	1/4	1	295			articStaccatoAbove			
33	27	80	89	1.0		1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	296			articStaccatoBelow			
33	27	81	90	1.0		1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	297			articStaccatoAbove			
34	28	82	91	1.0		0	0	Chord	3/4	1	1	1/4	1/4	1	298			articStaccatoBelow			
34	28	83	92	1.0		1/4	1/4	Chord	3/4	1	1	1/4	1/4	1	299						
34	28	84	93	1.0		1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	300			articStaccatoBelow			
34	28	82	91	1.0		0	0	Chord	3/4	2	1	1/4	1/4	1	301			articStaccatoBelow			
34	28	83	92	1.0		1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	302			articStaccatoAbove			
34	28	84	93	1.0		1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	303			articStaccatoBelow			
35	29	85	94	1.0		0	0	Chord	3/4	1	1	1/4	1/4	1	304			articStaccatoAbove			
35	29	86	95	1.0		1/4	1/4	Chord	3/4	1	1	1/4	1/4	1	305			articStaccatoBelow			
35	29	87	96	1.0		1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	306			articStaccatoAbove			
35	29	85	94	1.0		0	0	Chord	3/4	2	1	1/4	1/4	1	307			articStaccatoAbove			
35	29	86	95	1.0		1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	308			articStaccatoBelow			
35	29	87	96	1.0		1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	309			articStaccatoAbove			
36	30	88	97	1.0		0	0	Chord	3/4	1	1	1/4	1/4	1	310	f		articStaccatoBelow			
36	30	90	99	1.0		1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	311	p		articStaccatoBelow			
36	30	88	97	0.0		0	0	Dynamic	3/4	2	1	0					f				
36	30	89	98	1.0		1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	312			articStaccatoAbove			
36	30	90	99	0.0		1/2	1/2	Dynamic	3/4	2	1	0					p				
36	30	90	99	1.0		1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	313			articStaccatoBelow			
36	30	88	97	1.0		0	0	Chord	3/4	2	2	1/4	1/4	1	314			articStaccatoAbove			
36	30	89	98	1.0		1/4	1/4	Chord	3/4	2	2	1/4	1/4	1	315			articStaccatoBelow			
37	31	91	100	0.0		0	0	Dynamic	3/4	1	1	0					p				
37	31	91	100	2.0		0	0	Chord	3/4	1	1	1/2	1/2	1	316						
37	31	93	102	1.0		1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	317			articStaccatoBelow			
37	31	91	100	2.0		0	0	Chord	3/4	2	1	1/2	1/2	1	318						
37	31	93	102	1.0		1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	319			articStaccatoBelow			
38	32	94	103	2.0		0	0	Chord	3/4	1	1	1/2	1/2	1	320						
38	32	96	105	1.0		1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	321	<			41		
38	32	94	103	2.0		0	0	Chord	3/4	2	1	1/2	1/2	1	322						
38	32	96	105	1.0		1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	323						
39	33	97	106	0.0		0	0	Dynamic	3/4	1	1	0					sf		41		
39	33	97	106	1.5		0	0	Chord	3/4	1	1	3/8	1/4	3/2	324				41		
39	33	197/2	215/2	0.0		3/8	3/8	Spanner	3/4	1	1	0								1	
39	33	197/2	215/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	325	>		articStaccatoBelow		1	
39	33	99	108	0.5		1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	326			articStaccatoBelow		1	
39	33	199/2	217/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	327			articStaccatoBelow		1	
39	33	97	106	1.5		0	0	Chord	3/4	2	1	3/8	1/4	3/2	328						
39	33	197/2	215/2	0.5		3/8	3/8	Chord	3/4	2	1	1/8	1/8	1	329						
39	33	99	108	0.5		1/2	1/2	Chord	3/4	2	1	1/8	1/8	1	330						
39	33	199/2	217/2	0.5		5/8	5/8	Chord	3/4	2	1	1/8	1/8	1	331						
40	34	100	109	0.0		0	0	Spanner	3/4	1	1	0									
40	34	100	109	0.5		0	0	Chord	3/4	1	1	1/8	1/8	1	332				42		
40	34	201/2	219/2	0.25		1/8	1/8	Chord	3/4	1	1	1/16	1/16	1	333				42		
40	34	403/4	439/4	0.25		3/16	3/16	Chord	3/4	1	1	1/16	1/16	1	334				42		
40	34	101	110	0.5		1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	335						
40	34	102	111	1.0		1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	336			articStaccatoBelow			
40	34	100	109	0.5		0	0	Chord	3/4	1	2	1/8	1/8	1	337				43		
40	34	201/2	219/2	0.5		1/8	1/8	Chord	3/4	1	2	1/8	1/8	1	338				43		
40	34	101	110	0.5		1/4	1/4	Chord	3/4	1	2	1/8	1/8	1	339						
40	34	100	109	0.5		0	0	Chord	3/4	2	1	1/8	1/8	1	340						
40	34	201/2	219/2	0.5		1/8	1/8	Chord	3/4	2	1	1/8	1/8	1	341						
40	34	101	110	0.5		1/4	1/4	Chord	3/4	2	1	1/8	1/8	1	342						
40	34	102	111	0.0		1/2	1/2	Dynamic	3/4	2	1	0					p				
40	34	102	111	1.0		1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	343			articStaccatoBelow			
41	35	103	112	2.0		0	0	Chord	3/4	1	1	1/2	1/2	1	344						
41	35	105	114	1.0		1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	345	<		articStaccatoBelow			
41	35	103	112	2.0		0	0	Chord	3/4	2	1	1/2	1/2	1	346						
41	35	105	114	1.0		1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	347			articStaccatoAbove			
42	36	106	115	2.0		0	0	Chord	3/4	1	1	1/2	1/2	1	348						
42	36	108	117	0.0		1/2	1/2	Dynamic	3/4	1	1	0					f				
42	36	108	117	1.0		1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	349	f			44		
42	36	106	115	2.0		0	0	Chord	3/4	2	1	1/2	1/2	1	350						
42	36	108	117	1.0		1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	351				45		
43	37	109	118	0.75		0	0	Chord	3/4	1	1	3/16	1/8	3/2	352				44		
43	37	439/4	475/4	0.25		3/16	3/16	Chord	3/4	1	1	1/16	1/16	1	353						
43	37	110	119	1.0		1/4	1/4	Chord	3/4	1	1	1/4	1/4	1	354			articStaccatoAbove			
43	37	111	120	0.0		1/2	1/2	Dynamic	3/4	1	1	0					p				
43	37	111	120	1.0		1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	355	p		articStaccatoAbove			
43	37	109	118	0.75		0	0	Chord	3/4	2	1	3/16	1/8	3/2	356				45		
43	37	439/4	475/4	0.25		3/16	3/16	Chord	3/4	2	1	1/16	1/16	1	357						
43	37	110	119	1.0		1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	358			articStaccatoBelow			
43	37	111	120	1.0		1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	359			articStaccatoBelow			
44	38	112	121	1.0		0	0	Chord	3/4	1	1	1/4	1/4	1	360			articStaccatoAbove			
44	38	112	121	1.0		0	0	Chord	3/4	2	1	1/4	1/4	1	361			articStaccatoBelow			
45	38	114	123	0.0		0	1/2	Dynamic	3/4	1	1	0					p				
45	38	114	123	0.75		0	1/2	Chord	3/4	1	1	3/16	1/8	3/2	362	p			46		
45	38	459/4	495/4	0.25		3/16	11/16	Chord	3/4	1	1	1/16	1/16	1	363						
46	39	115	124	2.0		0	0	Chord	3/4	1	1	1/2	1/2	1	364						
46	39	117	126	0.75		1/2	1/2	Chord	3/4	1	1	3/16	1/8	3/2	365				47		
46	39	471/4	507/4	0.25		11/16	11/16	Chord	3/4	1	1	1/16	1/16	1	366						
46	39	115	124	0.5		0	0	Chord	3/4	2	1	1/8	1/8	1	367				48		
46	39	231/2	249/2	0.5		1/8	1/8	Chord	3/4	2	1	1/8	1/8	1	368				48		
46	39	116	125	0.5		1/4	1/4	Chord	3/4	2	1	1/8	1/8	1	369				48		
46	39	233/2	251/2	0.5		3/8	3/8	Chord	3/4	2	1	1/8	1/8	1	370				48		
46	39	117	126	0.5		1/2	1/2	Chord	3/4	2	1	1/8	1/8	1	371				48		
46	39	235/2	253/2	0.5		5/8	5/8	Chord	3/4	2	1	1/8	1/8	1	372						
46	39	115	124	3.0		0	0	Chord	3/4	2	2	3/4	1/2	3/2	373						
47	40	118	127	1.0		0	0	Chord	3/4	1	1	1/4	1/4	1	374				49		
47	40	119	128	1.5		1/4	1/4	Chord	3/4	1	1	3/8	1/4	3/2	375				49		
47	40	241/2	259/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	376						
47	40	118	127	0.5		0	0	Chord	3/4	2	1	1/8	1/8	1	377						
47	40	237/2	255/2	0.5		1/8	1/8	Chord	3/4	2	1	1/8	1/8	1	378						
47	40	119	128	0.5		1/4	1/4	Chord	3/4	2	1	1/8	1/8	1	379						
47	40	239/2	257/2	0.5		3/8	3/8	Chord	3/4	2	1	1/8	1/8	1	380						
47	40	120	129	0.5		1/2	1/2	Chord	3/4	2	1	1/8	1/8	1	381						
47	40	241/2	259/2	0.5		5/8	5/8	Chord	3/4	2	1	1/8	1/8	1	382						
47	40	118	127	2.0		0	0	Chord	3/4	2	2	1/2	1/2	1	383						
47	40	120	129	0.5		1/2	1/2	Chord	3/4	2	2	1/8	1/8	1	384						
47	40	241/2	259/2	0.5		5/8	5/8	Chord	3/4	2	2	1/8	1/8	1	385						
48	41	121	130	1.5		0	0	Chord	3/4	1	1	3/8	1/4	3/2	386				50		
48	41	245/2	263/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	387				50		
48	41	123	132	0.5		1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	388				50		
48	41	247/2	265/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	389						
48	41	121	130	0.5		0	0	Chord	3/4	1	2	1/8	1/8	1	390						
48	41	243/2	261/2	0.5		1/8	1/8	Chord	3/4	1	2	1/8	1/8	1	391						
48	41	122	131	0.5		1/4	1/4	Chord	3/4	1	2	1/8	1/8	1	392						
48	41	245/2	263/2	0.5		3/8	3/8	Chord	3/4	1	2	1/8	1/8	1	393						
48	41	123	132	0.5		1/2	1/2	Chord	3/4	1	2	1/8	1/8	1	394						
48	41	247/2	265/2	0.5		5/8	5/8	Chord	3/4	1	2	1/8	1/8	1	395						
48	41	121	130	1.5		0	0	Chord	3/4	2	1	3/8	1/4	3/2	396				51		
48	41	245/2	263/2	0.5		3/8	3/8	Chord	3/4	2	1	1/8	1/8	1	397				51		
48	41	123	132	0.5		1/2	1/2	Chord	3/4	2	1	1/8	1/8	1	398				51		
48	41	247/2	265/2	0.5		5/8	5/8	Chord	3/4	2	1	1/8	1/8	1	399						
49	42	124	133	1.0		0	0	Chord	3/4	1	1	1/4	1/4	1	400				52		
49	42	125	134	1.0		1/4	1/4	Chord	3/4	1	1	1/4	1/4	1	401						
49	42	126	135	0.75		1/2	1/2	Chord	3/4	1	1	3/16	1/8	3/2	402				53		
49	42	507/4	543/4	0.25		11/16	11/16	Chord	3/4	1	1	1/16	1/16	1	403						
49	42	124	133	0.5		0	0	Chord	3/4	1	2	1/8	1/8	1	404						
49	42	249/2	267/2	0.5		1/8	1/8	Chord	3/4	1	2	1/8	1/8	1	405						
49	42	125	134	0.5		1/4	1/4	Chord	3/4	1	2	1/8	1/8	1	406						
49	42	251/2	269/2	0.5		3/8	3/8	Chord	3/4	1	2	1/8	1/8	1	407						
49	42	126	135	0.5		1/2	1/2	Chord	3/4	1	2	1/8	1/8	1	408						
49	42	253/2	271/2	0.5		5/8	5/8	Chord	3/4	1	2	1/8	1/8	1	409						
49	42	124	133	1.0		0	0	Chord	3/4	2	1	1/4	1/4	1	410						
49	42	125	134	1.0		1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	411						
49	42	126	135	0.75		1/2	1/2	Chord	3/4	2	1	3/16	1/8	3/2	412						
49	42	507/4	543/4	0.25		11/16	11/16	Chord	3/4	2	1	1/16	1/16	1	413						
50	43	127	136	0.0		0	0	Spanner	3/4	1	1	0									3
50	43	127	136	1.5		0	0	Chord	3/4	1	1	3/8	1/4	3/2	414				54		3
50	43	255/2	273/2	0.0		1/8	1/8	Spanner	3/4	1	1	0							54		
50	43	257/2	275/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	415				54		
50	43	129	138	0.5		1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	416				54		
50	43	259/2	277/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	417						
50	43	127	136	0.5		0	0	Chord	3/4	1	2	1/8	1/8	1	418	<					
50	43	255/2	273/2	0.5		1/8	1/8	Chord	3/4	1	2	1/8	1/8	1	419						
50	43	128	137	0.5		1/4	1/4	Chord	3/4	1	2	1/8	1/8	1	420						
50	43	257/2	275/2	0.5		3/8	3/8	Chord	3/4	1	2	1/8	1/8	1	421						
50	43	129	138	0.5		1/2	1/2	Chord	3/4	1	2	1/8	1/8	1	422						
50	43	259/2	277/2	0.5		5/8	5/8	Chord	3/4	1	2	1/8	1/8	1	423						
50	43	127	136	1.5		0	0	Chord	3/4	2	1	3/8	1/4	3/2	424				55		
50	43	257/2	275/2	0.5		3/8	3/8	Chord	3/4	2	1	1/8	1/8	1	425				55		
50	43	129	138	0.5		1/2	1/2	Chord	3/4	2	1	1/8	1/8	1	426				55		
50	43	259/2	277/2	0.5		5/8	5/8	Chord	3/4	2	1	1/8	1/8	1	427						
51	44	130	139	1.5		0	0	Chord	3/4	1	1	3/8	1/4	3/2	428				56		
51	44	263/2	281/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	429				56		
51	44	132	141	0.5		1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	430				56		
51	44	265/2	283/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	431						
51	44	130	139	0.5		0	0	Chord	3/4	1	2	1/8	1/8	1	432						
51	44	261/2	279/2	0.5		1/8	1/8	Chord	3/4	1	2	1/8	1/8	1	433						
51	44	131	140	0.5		1/4	1/4	Chord	3/4	1	2	1/8	1/8	1	434						
51	44	263/2	281/2	0.5		3/8	3/8	Chord	3/4	1	2	1/8	1/8	1	435						
51	44	132	141	0.5		1/2	1/2	Chord	3/4	1	2	1/8	1/8	1	436						
51	44	265/2	283/2	0.5		5/8	5/8	Chord	3/4	1	2	1/8	1/8	1	437						
51	44	130	139	2.0		0	0	Chord	3/4	2	1	1/2	1/2	1	438				57		
51	44	132	141	0.5		1/2	1/2	Chord	3/4	2	1	1/8	1/8	1	439				57		
51	44	265/2	283/2	0.5		5/8	5/8	Chord	3/4	2	1	1/8	1/8	1	440						
52	45	133	142	0.5		0	0	Chord	3/4	1	1	1/8	1/8	1	441				58		
52	45	267/2	285/2	1.0		1/8	1/8	Chord	3/4	1	1	1/4	1/4	1	442						
52	45	269/2	287/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	443				59		
52	45	135	144	0.5		1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	444				59		
52	45	271/2	289/2	0.25		5/8	5/8	Chord	3/4	1	1	1/16	1/16	1	445				59		
52	45	543/4	579/4	0.25		11/16	11/16	Chord	3/4	1	1	1/16	1/16	1	446						
52	45	133	142	0.5		0	0	Chord	3/4	1	2	1/8	1/8	1	447	p					
52	45	267/2	285/2	0.5		1/8	1/8	Chord	3/4	1	2	1/8	1/8	1	448						
52	45	134	143	0.5		1/4	1/4	Chord	3/4	1	2	1/8	1/8	1	449						
52	45	269/2	287/2	0.5		3/8	3/8	Chord	3/4	1	2	1/8	1/8	1	450						
52	45	135	144	0.5		1/2	1/2	Chord	3/4	1	2	1/8	1/8	1	451						
52	45	271/2	289/2	0.5		5/8	5/8	Chord	3/4	1	2	1/8	1/8	1	452						
52	45	133	142	0.0		0	0	Dynamic	3/4	2	1	0					p				
52	45	133	142	1.5		0	0	Chord	3/4	2	1	3/8	1/4	3/2	453				60		
52	45	269/2	287/2	0.5		3/8	3/8	Chord	3/4	2	1	1/8	1/8	1	454				60		
52	45	135	144	0.5		1/2	1/2	Chord	3/4	2	1	1/8	1/8	1	455				60		
52	45	271/2	289/2	0.5		5/8	5/8	Chord	3/4	2	1	1/8	1/8	1	456						
53	46		145	1.0	1	0	0	Chord	3/4	1	1	1/4	1/4	1	457				61		
53	46		146	0.5	1	1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	458						
53	46		147	0.75	1	1/2	1/2	Chord	3/4	1	1	3/16	1/8	3/2	459				62		
53	46		591/4	0.25	1	11/16	11/16	Chord	3/4	1	1	1/16	1/16	1	460						
53	46		145	0.5	1	0	0	Chord	3/4	1	2	1/8	1/8	1	461						
53	46		291/2	0.5	1	1/8	1/8	Chord	3/4	1	2	1/8	1/8	1	462						
53	46		146	0.5	1	1/4	1/4	Chord	3/4	1	2	1/8	1/8	1	463						
53	46		147	0.5	1	1/2	1/2	Chord	3/4	1	2	1/8	1/8	1	464						
53	46		295/2	0.5	1	5/8	5/8	Chord	3/4	1	2	1/8	1/8	1	465						
53	46		145	1.5	1	0	0	Chord	3/4	2	1	3/8	1/4	3/2	466				63		
53	46		293/2	0.5	1	3/8	3/8	Chord	3/4	2	1	1/8	1/8	1	467				63		
53	46		147	0.5	1	1/2	1/2	Chord	3/4	2	1	1/8	1/8	1	468				63		
53	46		295/2	0.5	1	5/8	5/8	Chord	3/4	2	1	1/8	1/8	1	469						
54	46		148	2.0	1	0	0	Chord	3/4	1	1	1/2	1/2	1	470			ornamentTurn			
54	46		150	0.75	1	1/2	1/2	Chord	3/4	1	1	3/16	1/8	3/2	471				64		
54	46		603/4	0.25	1	11/16	11/16	Chord	3/4	1	1	1/16	1/16	1	472						
54	46		148	0.5	1	0	0	Chord	3/4	1	2	1/8	1/8	1	473						
54	46		297/2	0.5	1	1/8	1/8	Chord	3/4	2	1	1/8	1/8	1	474				65		
54	46		149	0.5	1	1/4	1/4	Chord	3/4	2	1	1/8	1/8	1	475				65		
54	46		299/2	0.5	1	3/8	3/8	Chord	3/4	2	1	1/8	1/8	1	476				65		
54	46		150	0.5	1	1/2	1/2	Chord	3/4	2	1	1/8	1/8	1	477				65		
54	46		301/2	0.5	1	5/8	5/8	Chord	3/4	2	1	1/8	1/8	1	478						
54	46		148	0.5	1	0	0	Chord	3/4	2	2	1/8	1/8	1	479						
54	46		149	2.0	1	1/4	1/4	Chord	3/4	2	2	1/2	1/2	1	480						
55	46	136	151	1.0	2	0	0	Chord	3/4	1	1	1/4	1/4	1	481				66		
55	46	137	152	0.5	2	1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	482						
55	46	136	151	0.5	2	0	0	Chord	3/4	1	2	1/8	1/8	1	483						
55	46	273/2	303/2	0.5	2	1/8	1/8	Chord	3/4	1	2	1/8	1/8	1	484						
55	46	137	152	0.5	2	1/4	1/4	Chord	3/4	1	2	1/8	1/8	1	485						
55	46	275/2	305/2	0.5	2	3/8	3/8	Chord	3/4	1	2	1/8	1/8	1	486						
55	46	136	151	1.0	2	0	0	Chord	3/4	2	1	1/4	1/4	1	487				67		
55	46	137	152	0.5	2	1/4	1/4	Chord	3/4	2	1	1/8	1/8	1	488						
56	46	138	153	0.75		0	1/2	Chord	3/4	1	1	3/16	1/8	3/2	489				68		
56	46	555/4	615/4	0.25		3/16	11/16	Chord	3/4	1	1	1/16	1/16	1	490						
57	47	139	154	2.0		0	0	Chord	3/4	1	1	1/2	1/2	1	491			articAccentAbove	69		
57	47	141	156	0.5		1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	492				69		
57	47	283/2	313/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	493			ornamentTrill			
57	47	139	154	0.5		0	0	Chord	3/4	2	1	1/8	1/8	1	494			articStaccatoBelow			
57	47	279/2	309/2	0.5		1/8	1/8	Chord	3/4	2	1	1/8	1/8	1	495				70		
57	47	140	155	0.5		1/4	1/4	Chord	3/4	2	1	1/8	1/8	1	496				70		
57	47	281/2	311/2	0.5		3/8	3/8	Chord	3/4	2	1	1/8	1/8	1	497				70		
57	47	141	156	0.5		1/2	1/2	Chord	3/4	2	1	1/8	1/8	1	498				70		
57	47	283/2	313/2	0.5		5/8	5/8	Chord	3/4	2	1	1/8	1/8	1	499						
58	48	142	157	0.5		0	0	Chord	3/4	1	1	1/8	1/8	1	500				71		
58	48	285/2	315/2	0.5		1/8	1/8	Chord	3/4	1	1	1/8	1/8	1	501				71		
58	48	143	158	0.5		1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	502				71		
58	48	287/2	317/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	503				71		
58	48	144	159	0.5		1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	504						
58	48	289/2	319/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	505						
58	48	142	157	1.0		0	0	Chord	3/4	1	2	1/4	1/4	1	506						
58	48	143	158	1.0		1/4	1/4	Chord	3/4	1	2	1/4	1/4	1	507						
58	48	144	159	0.5		1/2	1/2	Chord	3/4	1	2	1/8	1/8	1	508						
58	48	142	157	0.5		0	0	Chord	3/4	2	1	1/8	1/8	1	509				72		
58	48	285/2	315/2	0.5		1/8	1/8	Chord	3/4	2	1	1/8	1/8	1	510				72		
58	48	143	158	0.5		1/4	1/4	Chord	3/4	2	1	1/8	1/8	1	511				72		
58	48	287/2	317/2	0.5		3/8	3/8	Chord	3/4	2	1	1/8	1/8	1	512				72		
58	48	144	159	0.5		1/2	1/2	Chord	3/4	2	1	1/8	1/8	1	513				72		
58	48	289/2	319/2	0.5		5/8	5/8	Chord	3/4	2	1	1/8	1/8	1	514						
59	49	145	160	2.0		0	0	Chord	3/4	1	1	1/2	1/2	1	515			articAccentAbove	73		
59	49	147	162	0.5		1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	516				73		
59	49	295/2	325/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	517			ornamentTrill			
59	49	145	160	0.5		0	0	Chord	3/4	2	1	1/8	1/8	1	518			articStaccatoBelow			
59	49	291/2	321/2	0.5		1/8	1/8	Chord	3/4	2	1	1/8	1/8	1	519				74		
59	49	146	161	0.5		1/4	1/4	Chord	3/4	2	1	1/8	1/8	1	520				74		
59	49	293/2	323/2	0.5		3/8	3/8	Chord	3/4	2	1	1/8	1/8	1	521				74		
59	49	147	162	0.5		1/2	1/2	Chord	3/4	2	1	1/8	1/8	1	522				74		
59	49	295/2	325/2	0.5		5/8	5/8	Chord	3/4	2	1	1/8	1/8	1	523						
60	50	148	163	0.5		0	0	Chord	3/4	1	1	1/8	1/8	1	524				75		
60	50	297/2	327/2	0.5		1/8	1/8	Chord	3/4	1	1	1/8	1/8	1	525				75		
60	50	149	164	0.5		1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	526				75		
60	50	299/2	329/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	527				75		
60	50	150	165	0.5		1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	528						
60	50	301/2	331/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	529						
60	50	148	163	1.0		0	0	Chord	3/4	1	2	1/4	1/4	1	530						
60	50	149	164	1.0		1/4	1/4	Chord	3/4	1	2	1/4	1/4	1	531						
60	50	150	165	0.5		1/2	1/2	Chord	3/4	1	2	1/8	1/8	1	532						
60	50	148	163	0.5		0	0	Chord	3/4	2	1	1/8	1/8	1	533				76		
60	50	297/2	327/2	0.5		1/8	1/8	Chord	3/4	2	1	1/8	1/8	1	534				76		
60	50	149	164	0.5		1/4	1/4	Chord	3/4	2	1	1/8	1/8	1	535				76		
60	50	299/2	329/2	0.5		3/8	3/8	Chord	3/4	2	1	1/8	1/8	1	536				76		
60	50	150	165	0.5		1/2	1/2	Chord	3/4	2	1	1/8	1/8	1	537				76		
60	50	301/2	331/2	0.5		5/8	5/8	Chord	3/4	2	1	1/8	1/8	1	538						
61	51	151	166	1.5		0	0	Chord	3/4	1	1	3/8	1/4	3/2	539				77		
61	51	152	167	0.0		1/4	1/4	Spanner	3/4	1	1	0							77		4
61	51	305/2	335/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	540				77		4
61	51	153	168	0.5		1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	541				77		4
61	51	307/2	337/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	542				77		4
61	51	152	167	2.0		1/4	1/4	Chord	3/4	1	2	1/2	1/2	1	543	<					4
61	51	151	166	0.5		0	0	Chord	3/4	2	1	1/8	1/8	1	544						
61	51	303/2	333/2	0.5		1/8	1/8	Chord	3/4	2	1	1/8	1/8	1	545				78		
61	51	152	167	0.5		1/4	1/4	Chord	3/4	2	1	1/8	1/8	1	546				78		
61	51	305/2	335/2	0.5		3/8	3/8	Chord	3/4	2	1	1/8	1/8	1	547				78		
61	51	153	168	0.5		1/2	1/2	Chord	3/4	2	1	1/8	1/8	1	548				78		
61	51	307/2	337/2	0.5		5/8	5/8	Chord	3/4	2	1	1/8	1/8	1	549				78		
62	52	154	169	0.0		0	0	Spanner	3/4	1	1	0							77		
62	52	154	169	1.5		0	0	Chord	3/4	1	1	3/8	1/4	3/2	550				77		
62	52	311/2	341/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	551				77		
62	52	156	171	0.5		1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	552				77		
