mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	decrescendo_hairpin	crescendo_line	diminuendo_line	crescendo_hairpin
101	99	791/4	791/4	0.25	3/16	3/16	Chord	2/4	2	4	1/16		1/16	1	1257													
101	99	198	198	1.0	1/4	1/4	Chord	2/4	2	4	1/4		1/4	1	1258													
102	100	199	199	0.25	0	0	Chord	2/4	1	1	1/16		1/16	1	1259									180				
102	100	797/4	797/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16		1/16	1	1260									180				
102	100	399/2	399/2	0.75	1/8	1/8	Chord	2/4	1	1	3/16		1/8	3/2	1261													
102	100	801/4	801/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	1262									181				
102	100	401/2	401/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	1263									181				
102	100	803/4	803/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	1264									181				
102	100	399/2	399/2	0.25	1/8	1/8	Chord	2/4	2	2	1/16		1/16	1	1265													
102	100	799/4	799/4	0.25	3/16	3/16	Chord	2/4	2	2	1/16		1/16	1	1266													
102	100	200	200	1.0	1/4	1/4	Chord	2/4	2	2	1/4		1/4	1	1267													
102	100	399/2	399/2	0.5	1/8	1/8	Chord	2/4	2	3	1/8		1/8	1	1268													
102	100	200	200	1.0	1/4	1/4	Chord	2/4	2	3	1/4		1/4	1	1269													
102	100	799/4	799/4	0.25	3/16	3/16	Chord	2/4	2	4	1/16		1/16	1	1270													
102	100	200	200	1.0	1/4	1/4	Chord	2/4	2	4	1/4		1/4	1	1271													
103	101	201	201	0.25	0	0	Chord	2/4	1	1	1/16		1/16	1	1272									181				
103	101	805/4	805/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16		1/16	1	1273									181				
103	101	403/2	403/2	0.75	1/8	1/8	Chord	2/4	1	1	3/16		1/8	3/2	1274													
103	101	809/4	809/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	1275									182				
103	101	405/2	405/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	1276									182				
103	101	811/4	811/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	1277									182				
103	101	403/2	403/2	0.25	1/8	1/8	Chord	2/4	2	2	1/16		1/16	1	1278													
103	101	807/4	807/4	0.25	3/16	3/16	Chord	2/4	2	2	1/16		1/16	1	1279													
103	101	202	202	1.0	1/4	1/4	Chord	2/4	2	2	1/4		1/4	1	1280													
103	101	403/2	403/2	0.5	1/8	1/8	Chord	2/4	2	3	1/8		1/8	1	1281													
103	101	202	202	1.0	1/4	1/4	Chord	2/4	2	3	1/4		1/4	1	1282													
103	101	807/4	807/4	0.25	3/16	3/16	Chord	2/4	2	4	1/16		1/16	1	1283													
103	101	202	202	1.0	1/4	1/4	Chord	2/4	2	4	1/4		1/4	1	1284													
104	102	203	203	0.25	0	0	Chord	2/4	1	1	1/16		1/16	1	1285									182				
104	102	813/4	813/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16		1/16	1	1286									182				
104	102	407/2	407/2	0.75	1/8	1/8	Chord	2/4	1	1	3/16		1/8	3/2	1287													
104	102	817/4	817/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	1288									183				
104	102	409/2	409/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	1289													
104	102	819/4	819/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	1290		articStaccatoAbove											
104	102	407/2	407/2	0.25	1/8	1/8	Chord	2/4	2	2	1/16		1/16	1	1291													
104	102	815/4	815/4	0.25	3/16	3/16	Chord	2/4	2	2	1/16		1/16	1	1292													
104	102	204	204	1.0	1/4	1/4	Chord	2/4	2	2	1/4		1/4	1	1293													
104	102	407/2	407/2	0.5	1/8	1/8	Chord	2/4	2	3	1/8		1/8	1	1294													
104	102	204	204	1.0	1/4	1/4	Chord	2/4	2	3	1/4		1/4	1	1295													
104	102	815/4	815/4	0.25	3/16	3/16	Chord	2/4	2	4	1/16		1/16	1	1296													
104	102	204	204	1.0	1/4	1/4	Chord	2/4	2	4	1/4		1/4	1	1297													
105	103	205	205	0.75	0	0	Chord	2/4	1	1	3/16		1/8	3/2	1298									184				
105	103	823/4	823/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	1299													
105	103	206	206	0.25	1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	1300									185				
105	103	825/4	825/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	1301									185				
105	103	413/2	413/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	1302									185				
105	103	827/4	827/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	1303													
105	103	821/4	821/4	0.25	1/16	1/16	Chord	2/4	2	2	1/16		1/16	1	1304									186				
105	103	411/2	411/2	0.25	1/8	1/8	Chord	2/4	2	2	1/16		1/16	1	1305									186				
105	103	823/4	823/4	0.25	3/16	3/16	Chord	2/4	2	2	1/16		1/16	1	1306													
105	103	825/4	825/4	0.25	5/16	5/16	Chord	2/4	2	2	1/16		1/16	1	1307									187				
105	103	413/2	413/2	0.25	3/8	3/8	Chord	2/4	2	2	1/16		1/16	1	1308									187				
105	103	827/4	827/4	0.25	7/16	7/16	Chord	2/4	2	2	1/16		1/16	1	1309													
106	104	207	207	0.75	0	0	Chord	2/4	1	1	3/16		1/8	3/2	1310									188				
106	104	831/4	831/4	0.0	3/16	3/16	StaffText	2/4	1	1	0							cresc.										
106	104	831/4	831/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	1311													
106	104	208	208	0.25	1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	1312									189				
106	104	833/4	833/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	1313									189				
106	104	417/2	417/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	1314									189				
106	104	835/4	835/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	1315													
106	104	829/4	829/4	0.25	1/16	1/16	Chord	2/4	2	2	1/16		1/16	1	1316									190				
106	104	415/2	415/2	0.25	1/8	1/8	Chord	2/4	2	2	1/16		1/16	1	1317									190				
106	104	831/4	831/4	0.25	3/16	3/16	Chord	2/4	2	2	1/16		1/16	1	1318													
106	104	833/4	833/4	0.25	5/16	5/16	Chord	2/4	2	2	1/16		1/16	1	1319									191				
106	104	417/2	417/2	0.25	3/8	3/8	Chord	2/4	2	2	1/16		1/16	1	1320									191				
106	104	835/4	835/4	0.25	7/16	7/16	Chord	2/4	2	2	1/16		1/16	1	1321													
107	105	209	209	0.75	0	0	Chord	2/4	1	1	3/16		1/8	3/2	1322									192				
107	105	839/4	839/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	1323													
107	105	210	210	0.25	1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	1324									193				
107	105	841/4	841/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	1325									193				
107	105	421/2	421/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	1326									193				
107	105	843/4	843/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	1327													
107	105	837/4	837/4	0.25	1/16	1/16	Chord	2/4	2	2	1/16		1/16	1	1328									194				
107	105	419/2	419/2	0.25	1/8	1/8	Chord	2/4	2	2	1/16		1/16	1	1329									194				
107	105	839/4	839/4	0.25	3/16	3/16	Chord	2/4	2	2	1/16		1/16	1	1330													
107	105	841/4	841/4	0.25	5/16	5/16	Chord	2/4	2	2	1/16		1/16	1	1331									195				
107	105	421/2	421/2	0.25	3/8	3/8	Chord	2/4	2	2	1/16		1/16	1	1332									195				
107	105	843/4	843/4	0.25	7/16	7/16	Chord	2/4	2	2	1/16		1/16	1	1333													
108	106	211	211	0.75	0	0	Chord	2/4	1	1	3/16		1/8	3/2	1334									196				
108	106	847/4	847/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	1335													
108	106	212	212	0.25	1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	1336									197				
108	106	849/4	849/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	1337									197				
108	106	425/2	425/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	1338									197				
108	106	851/4	851/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	1339													
108	106	845/4	845/4	0.25	1/16	1/16	Chord	2/4	2	2	1/16		1/16	1	1340									198				
108	106	423/2	423/2	0.25	1/8	1/8	Chord	2/4	2	2	1/16		1/16	1	1341									198				
108	106	847/4	847/4	0.25	3/16	3/16	Chord	2/4	2	2	1/16		1/16	1	1342													
108	106	849/4	849/4	0.25	5/16	5/16	Chord	2/4	2	2	1/16		1/16	1	1343									199				
108	106	425/2	425/2	0.25	3/8	3/8	Chord	2/4	2	2	1/16		1/16	1	1344													
108	106	851/4	851/4	0.25	7/16	7/16	Chord	2/4	2	2	1/16		1/16	1	1345													
109	107	213	213	0.0	0	0	Dynamic	2/4	1	1	0					f												
109	107	1705/8	1705/8	0.125	1/32	1/32	Chord	2/4	1	1	1/32		1/32	1	1346									200				
109	107	853/4	853/4	0.125	1/16	1/16	Chord	2/4	1	1	1/32		1/32	1	1347									200				
109	107	1707/8	1707/8	0.125	3/32	3/32	Chord	2/4	1	1	1/32		1/32	1	1348									200				
109	107	427/2	427/2	0.125	1/8	1/8	Chord	2/4	1	1	1/32		1/32	1	1349									200				
109	107	1709/8	1709/8	0.125	5/32	5/32	Chord	2/4	1	1	1/32		1/32	1	1350									200				
109	107	855/4	855/4	0.125	3/16	3/16	Chord	2/4	1	1	1/32		1/32	1	1351									200				
109	107	1711/8	1711/8	0.125	7/32	7/32	Chord	2/4	1	1	1/32		1/32	1	1352									200				
109	107	214	214	0.125	1/4	1/4	Chord	2/4	1	1	1/32		1/32	1	1353									200				
109	107	1713/8	1713/8	0.125	9/32	9/32	Chord	2/4	1	1	1/32		1/32	1	1354									200				
109	107	857/4	857/4	0.125	5/16	5/16	Chord	2/4	1	1	1/32		1/32	1	1355									200				
109	107	1715/8	1715/8	0.125	11/32	11/32	Chord	2/4	1	1	1/32		1/32	1	1356									200				
109	107	429/2	429/2	0.125	3/8	3/8	Chord	2/4	1	1	1/32		1/32	1	1357									200				
109	107	1717/8	1717/8	0.125	13/32	13/32	Chord	2/4	1	1	1/32		1/32	1	1358									200				
109	107	859/4	859/4	0.125	7/16	7/16	Chord	2/4	1	1	1/32		1/32	1	1359									200				
109	107	1719/8	1719/8	0.125	15/32	15/32	Chord	2/4	1	1	1/32		1/32	1	1360													
109	107	427/2	427/2	0.0	1/8	1/8	Dynamic	2/4	2	1	0					sf												
109	107	429/2	429/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	1361													
109	107	213	213	0.5	0	0	Chord	2/4	2	2	1/8		1/8	1	1362													
109	107	427/2	427/2	1.5	1/8	1/8	Chord	2/4	2	2	3/8		1/4	3/2	1363									201				
109	107	427/2	427/2	1.5	1/8	1/8	Chord	2/4	2	3	3/8		1/4	3/2	1364													
110	108	215	215	0.125	0	0	Chord	2/4	1	1	1/32		1/32	1	1365									202				
110	108	1721/8	1721/8	0.125	1/32	1/32	Chord	2/4	1	1	1/32		1/32	1	1366									202				
110	108	861/4	861/4	0.125	1/16	1/16	Chord	2/4	1	1	1/32		1/32	1	1367									202				
110	108	1723/8	1723/8	0.125	3/32	3/32	Chord	2/4	1	1	1/32		1/32	1	1368									202				
110	108	431/2	431/2	0.125	1/8	1/8	Chord	2/4	1	1	1/32		1/32	1	1369									202				
110	108	1725/8	1725/8	0.125	5/32	5/32	Chord	2/4	1	1	1/32		1/32	1	1370									202				
110	108	863/4	863/4	0.125	3/16	3/16	Chord	2/4	1	1	1/32		1/32	1	1371									202				
110	108	1727/8	1727/8	0.125	7/32	7/32	Chord	2/4	1	1	1/32		1/32	1	1372									202				
110	108	216	216	0.125	1/4	1/4	Chord	2/4	1	1	1/32		1/32	1	1373									202				
110	108	1729/8	1729/8	0.125	9/32	9/32	Chord	2/4	1	1	1/32		1/32	1	1374									202				
110	108	865/4	865/4	0.125	5/16	5/16	Chord	2/4	1	1	1/32		1/32	1	1375									202				
110	108	1731/8	1731/8	0.125	11/32	11/32	Chord	2/4	1	1	1/32		1/32	1	1376									202				
110	108	433/2	433/2	0.125	3/8	3/8	Chord	2/4	1	1	1/32		1/32	1	1377									202				
110	108	1733/8	1733/8	0.125	13/32	13/32	Chord	2/4	1	1	1/32		1/32	1	1378									202				
110	108	867/4	867/4	0.125	7/16	7/16	Chord	2/4	1	1	1/32		1/32	1	1379									202				
110	108	1735/8	1735/8	0.125	15/32	15/32	Chord	2/4	1	1	1/32		1/32	1	1380													
110	108	215	215	0.5	0	0	Chord	2/4	2	2	1/8		1/8	1	1381									201				
110	108	431/2	431/2	0.5	1/8	1/8	Chord	2/4	2	2	1/8		1/8	1	1382									201				
110	108	216	216	0.5	1/4	1/4	Chord	2/4	2	2	1/8		1/8	1	1383									201				
110	108	433/2	433/2	0.5	3/8	3/8	Chord	2/4	2	2	1/8		1/8	1	1384													
110	108	215	215	2.0	0	0	Chord	2/4	2	3	1/2		1/2	1	1385													
111	109	217	217	0.125	0	0	Chord	2/4	1	1	1/32		1/32	1	1386													
111	109	1737/8	1737/8	0.125	1/32	1/32	Chord	2/4	1	1	1/32		1/32	1	1387													
111	109	869/4	869/4	0.125	1/16	1/16	Chord	2/4	1	1	1/32		1/32	1	1388													
111	109	1739/8	1739/8	0.125	3/32	3/32	Chord	2/4	1	1	1/32		1/32	1	1389													
111	109	435/2	435/2	0.125	1/8	1/8	Chord	2/4	1	1	1/32		1/32	1	1390													
111	109	1741/8	1741/8	0.125	5/32	5/32	Chord	2/4	1	1	1/32		1/32	1	1391													
111	109	871/4	871/4	0.125	3/16	3/16	Chord	2/4	1	1	1/32		1/32	1	1392													
111	109	1743/8	1743/8	0.125	7/32	7/32	Chord	2/4	1	1	1/32		1/32	1	1393													
111	109	218	218	0.125	1/4	1/4	Chord	2/4	1	1	1/32		1/32	1	1394													
111	109	1745/8	1745/8	0.125	9/32	9/32	Chord	2/4	1	1	1/32		1/32	1	1395													
111	109	873/4	873/4	0.125	5/16	5/16	Chord	2/4	1	1	1/32		1/32	1	1396													
111	109	1747/8	1747/8	0.125	11/32	11/32	Chord	2/4	1	1	1/32		1/32	1	1397													
111	109	437/2	437/2	0.125	3/8	3/8	Chord	2/4	1	1	1/32		1/32	1	1398													
111	109	1749/8	1749/8	0.125	13/32	13/32	Chord	2/4	1	1	1/32		1/32	1	1399													
111	109	875/4	875/4	0.125	7/16	7/16	Chord	2/4	1	1	1/32		1/32	1	1400													
111	109	1751/8	1751/8	0.125	15/32	15/32	Chord	2/4	1	1	1/32		1/32	1	1401													
111	109	435/2	435/2	0.0	1/8	1/8	Dynamic	2/4	2	1	0					sf												
111	109	435/2	435/2	1.0	1/8	1/8	Chord	2/4	2	2	1/4		1/4	1	1402									203				
111	109	437/2	437/2	0.5	3/8	3/8	Chord	2/4	2	2	1/8		1/8	1	1403									203				
111	109	217	217	2.0	0	0	Chord	2/4	2	3	1/2		1/2	1	1404													
112	110	219	219	0.125	0	0	Chord	2/4	1	1	1/32		1/32	1	1405									204				
112	110	1753/8	1753/8	0.125	1/32	1/32	Chord	2/4	1	1	1/32		1/32	1	1406									204				
112	110	877/4	877/4	0.125	1/16	1/16	Chord	2/4	1	1	1/32		1/32	1	1407									204				
112	110	1755/8	1755/8	0.125	3/32	3/32	Chord	2/4	1	1	1/32		1/32	1	1408									204				
112	110	439/2	439/2	0.125	1/8	1/8	Chord	2/4	1	1	1/32		1/32	1	1409									204				
112	110	1757/8	1757/8	0.125	5/32	5/32	Chord	2/4	1	1	1/32		1/32	1	1410									204				
112	110	879/4	879/4	0.125	3/16	3/16	Chord	2/4	1	1	1/32		1/32	1	1411									204				
112	110	1759/8	1759/8	0.125	7/32	7/32	Chord	2/4	1	1	1/32		1/32	1	1412									204				
112	110	220	220	0.125	1/4	1/4	Chord	2/4	1	1	1/32		1/32	1	1413									204				
112	110	1761/8	1761/8	0.125	9/32	9/32	Chord	2/4	1	1	1/32		1/32	1	1414									204				
112	110	881/4	881/4	0.125	5/16	5/16	Chord	2/4	1	1	1/32		1/32	1	1415									204				
112	110	1763/8	1763/8	0.125	11/32	11/32	Chord	2/4	1	1	1/32		1/32	1	1416									204				
112	110	441/2	441/2	0.125	3/8	3/8	Chord	2/4	1	1	1/32		1/32	1	1417									204				
112	110	1765/8	1765/8	0.125	13/32	13/32	Chord	2/4	1	1	1/32		1/32	1	1418									204				
112	110	883/4	883/4	0.125	7/16	7/16	Chord	2/4	1	1	1/32		1/32	1	1419									204				
112	110	1767/8	1767/8	0.125	15/32	15/32	Chord	2/4	1	1	1/32		1/32	1	1420													
112	110	219	219	0.5	0	0	Chord	2/4	2	2	1/8		1/8	1	1421									203				
112	110	439/2	439/2	0.5	1/8	1/8	Chord	2/4	2	2	1/8		1/8	1	1422									203				
112	110	220	220	0.5	1/4	1/4	Chord	2/4	2	2	1/8		1/8	1	1423									203				
112	110	441/2	441/2	0.5	3/8	3/8	Chord	2/4	2	2	1/8		1/8	1	1424													
112	110	219	219	2.0	0	0	Chord	2/4	2	3	1/2		1/2	1	1425													
113	111	221	221	0.125	0	0	Chord	2/4	1	1	1/32		1/32	1	1426													
113	111	1769/8	1769/8	0.125	1/32	1/32	Chord	2/4	1	1	1/32		1/32	1	1427													
113	111	885/4	885/4	0.125	1/16	1/16	Chord	2/4	1	1	1/32		1/32	1	1428													
113	111	1771/8	1771/8	0.125	3/32	3/32	Chord	2/4	1	1	1/32		1/32	1	1429													
113	111	443/2	443/2	0.125	1/8	1/8	Chord	2/4	1	1	1/32		1/32	1	1430													
113	111	1773/8	1773/8	0.125	5/32	5/32	Chord	2/4	1	1	1/32		1/32	1	1431													
113	111	887/4	887/4	0.125	3/16	3/16	Chord	2/4	1	1	1/32		1/32	1	1432													
113	111	1775/8	1775/8	0.125	7/32	7/32	Chord	2/4	1	1	1/32		1/32	1	1433													
113	111	222	222	0.125	1/4	1/4	Chord	2/4	1	1	1/32		1/32	1	1434													
113	111	1777/8	1777/8	0.125	9/32	9/32	Chord	2/4	1	1	1/32		1/32	1	1435													
113	111	889/4	889/4	0.125	5/16	5/16	Chord	2/4	1	1	1/32		1/32	1	1436													
113	111	1779/8	1779/8	0.125	11/32	11/32	Chord	2/4	1	1	1/32		1/32	1	1437													
113	111	445/2	445/2	0.125	3/8	3/8	Chord	2/4	1	1	1/32		1/32	1	1438													
113	111	1781/8	1781/8	0.125	13/32	13/32	Chord	2/4	1	1	1/32		1/32	1	1439													
113	111	891/4	891/4	0.125	7/16	7/16	Chord	2/4	1	1	1/32		1/32	1	1440													
113	111	1783/8	1783/8	0.125	15/32	15/32	Chord	2/4	1	1	1/32		1/32	1	1441													
113	111	443/2	443/2	0.0	1/8	1/8	Dynamic	2/4	2	1	0					sf												
113	111	443/2	443/2	1.0	1/8	1/8	Chord	2/4	2	2	1/4		1/4	1	1442									205				
113	111	445/2	445/2	0.5	3/8	3/8	Chord	2/4	2	2	1/8		1/8	1	1443									205				
113	111	221	221	2.0	0	0	Chord	2/4	2	3	1/2		1/2	1	1444													
114	112	223	223	0.125	0	0	Chord	2/4	1	1	1/32		1/32	1	1445													
114	112	1785/8	1785/8	0.125	1/32	1/32	Chord	2/4	1	1	1/32		1/32	1	1446													
114	112	893/4	893/4	0.125	1/16	1/16	Chord	2/4	1	1	1/32		1/32	1	1447													
114	112	1787/8	1787/8	0.125	3/32	3/32	Chord	2/4	1	1	1/32		1/32	1	1448													
114	112	447/2	447/2	0.125	1/8	1/8	Chord	2/4	1	1	1/32		1/32	1	1449													
114	112	1789/8	1789/8	0.125	5/32	5/32	Chord	2/4	1	1	1/32		1/32	1	1450													
114	112	895/4	895/4	0.125	3/16	3/16	Chord	2/4	1	1	1/32		1/32	1	1451													
114	112	1791/8	1791/8	0.125	7/32	7/32	Chord	2/4	1	1	1/32		1/32	1	1452													
114	112	224	224	0.125	1/4	1/4	Chord	2/4	1	1	1/32		1/32	1	1453													
114	112	1793/8	1793/8	0.125	9/32	9/32	Chord	2/4	1	1	1/32		1/32	1	1454													
114	112	897/4	897/4	0.125	5/16	5/16	Chord	2/4	1	1	1/32		1/32	1	1455													
114	112	1795/8	1795/8	0.125	11/32	11/32	Chord	2/4	1	1	1/32		1/32	1	1456													
114	112	449/2	449/2	0.125	3/8	3/8	Chord	2/4	1	1	1/32		1/32	1	1457													
114	112	1797/8	1797/8	0.125	13/32	13/32	Chord	2/4	1	1	1/32		1/32	1	1458													
114	112	899/4	899/4	0.125	7/16	7/16	Chord	2/4	1	1	1/32		1/32	1	1459													
114	112	1799/8	1799/8	0.125	15/32	15/32	Chord	2/4	1	1	1/32		1/32	1	1460													
114	112	223	223	0.5	0	0	Chord	2/4	2	2	1/8		1/8	1	1461									205				
114	112	447/2	447/2	0.5	1/8	1/8	Chord	2/4	2	2	1/8		1/8	1	1462									205				
114	112	224	224	0.5	1/4	1/4	Chord	2/4	2	2	1/8		1/8	1	1463									205				
114	112	449/2	449/2	0.5	3/8	3/8	Chord	2/4	2	2	1/8		1/8	1	1464									205				
114	112	223	223	2.0	0	0	Chord	2/4	2	3	1/2		1/2	1	1465													
115	113	225	225	0.125	0	0	Chord	2/4	1	1	1/32		1/32	1	1466													
115	113	1801/8	1801/8	0.125	1/32	1/32	Chord	2/4	1	1	1/32		1/32	1	1467													
115	113	901/4	901/4	0.125	1/16	1/16	Chord	2/4	1	1	1/32		1/32	1	1468													
115	113	1803/8	1803/8	0.125	3/32	3/32	Chord	2/4	1	1	1/32		1/32	1	1469													
115	113	451/2	451/2	0.125	1/8	1/8	Chord	2/4	1	1	1/32		1/32	1	1470													
115	113	1805/8	1805/8	0.125	5/32	5/32	Chord	2/4	1	1	1/32		1/32	1	1471													
115	113	903/4	903/4	0.125	3/16	3/16	Chord	2/4	1	1	1/32		1/32	1	1472													
115	113	1807/8	1807/8	0.125	7/32	7/32	Chord	2/4	1	1	1/32		1/32	1	1473													
115	113	226	226	0.125	1/4	1/4	Chord	2/4	1	1	1/32		1/32	1	1474													
115	113	1809/8	1809/8	0.125	9/32	9/32	Chord	2/4	1	1	1/32		1/32	1	1475													
115	113	905/4	905/4	0.125	5/16	5/16	Chord	2/4	1	1	1/32		1/32	1	1476													
115	113	1811/8	1811/8	0.125	11/32	11/32	Chord	2/4	1	1	1/32		1/32	1	1477													
115	113	453/2	453/2	0.125	3/8	3/8	Chord	2/4	1	1	1/32		1/32	1	1478													
115	113	1813/8	1813/8	0.125	13/32	13/32	Chord	2/4	1	1	1/32		1/32	1	1479													
115	113	907/4	907/4	0.125	7/16	7/16	Chord	2/4	1	1	1/32		1/32	1	1480													
115	113	1815/8	1815/8	0.125	15/32	15/32	Chord	2/4	1	1	1/32		1/32	1	1481													
115	113	225	225	0.5	0	0	Chord	2/4	2	2	1/8		1/8	1	1482									205				
115	113	451/2	451/2	0.5	1/8	1/8	Chord	2/4	2	2	1/8		1/8	1	1483									205				
115	113	226	226	0.5	1/4	1/4	Chord	2/4	2	2	1/8		1/8	1	1484									205				
115	113	453/2	453/2	0.5	3/8	3/8	Chord	2/4	2	2	1/8		1/8	1	1485									205				
115	113	225	225	2.0	0	0	Chord	2/4	2	3	1/2		1/2	1	1486													
116	114	227	227	0.0	0	0	StaffText	2/4	1	1	0							dim.										
116	114	227	227	0.0	0	0	Spanner	2/4	1	1	0																1	
116	114	227	227	0.125	0	0	Chord	2/4	1	1	1/32		1/32	1	1487												1	
116	114	1817/8	1817/8	0.0	1/32	1/32	Spanner	2/4	1	1	0																	
116	114	1817/8	1817/8	0.125	1/32	1/32	Chord	2/4	1	1	1/32		1/32	1	1488													
116	114	909/4	909/4	0.125	1/16	1/16	Chord	2/4	1	1	1/32		1/32	1	1489													
116	114	1819/8	1819/8	0.125	3/32	3/32	Chord	2/4	1	1	1/32		1/32	1	1490													
116	114	455/2	455/2	0.125	1/8	1/8	Chord	2/4	1	1	1/32		1/32	1	1491													
116	114	1821/8	1821/8	0.125	5/32	5/32	Chord	2/4	1	1	1/32		1/32	1	1492													
116	114	911/4	911/4	0.125	3/16	3/16	Chord	2/4	1	1	1/32		1/32	1	1493													
116	114	1823/8	1823/8	0.125	7/32	7/32	Chord	2/4	1	1	1/32		1/32	1	1494													
116	114	228	228	0.125	1/4	1/4	Chord	2/4	1	1	1/32		1/32	1	1495													
116	114	1825/8	1825/8	0.125	9/32	9/32	Chord	2/4	1	1	1/32		1/32	1	1496													
116	114	913/4	913/4	0.125	5/16	5/16	Chord	2/4	1	1	1/32		1/32	1	1497													
116	114	1827/8	1827/8	0.125	11/32	11/32	Chord	2/4	1	1	1/32		1/32	1	1498													
116	114	457/2	457/2	0.125	3/8	3/8	Chord	2/4	1	1	1/32		1/32	1	1499													
116	114	1829/8	1829/8	0.125	13/32	13/32	Chord	2/4	1	1	1/32		1/32	1	1500													
116	114	915/4	915/4	0.125	7/16	7/16	Chord	2/4	1	1	1/32		1/32	1	1501													
116	114	1831/8	1831/8	0.125	15/32	15/32	Chord	2/4	1	1	1/32		1/32	1	1502													
116	114	227	227	0.5	0	0	Chord	2/4	2	2	1/8		1/8	1	1503									205				
116	114	455/2	455/2	0.5	1/8	1/8	Chord	2/4	2	2	1/8		1/8	1	1504									205				
116	114	228	228	0.5	1/4	1/4	Chord	2/4	2	2	1/8		1/8	1	1505									205				
116	114	457/2	457/2	0.5	3/8	3/8	Chord	2/4	2	2	1/8		1/8	1	1506													
116	114	227	227	2.0	0	0	Chord	2/4	2	3	1/2		1/2	1	1507													
117	115	229	229	0.0	0	0	Dynamic	2/4	1	1	0					pp												
117	115	229	229	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	1508		articStaccatoAbove											
117	115	921/4	921/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	1509									206				
117	115	461/2	461/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	1510									206				
117	115	923/4	923/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	1511									206				
117	115	229	229	0.16666666666666666	0	0	Chord	2/4	2	2	1/24		1/16	2/3	1512													
117	115	1375/6	1375/6	0.16666666666666666	1/24	1/24	Chord	2/4	2	2	1/24		1/16	2/3	1513													
117	115	688/3	688/3	0.16666666666666666	1/12	1/12	Chord	2/4	2	2	1/24		1/16	2/3	1514													
117	115	459/2	459/2	0.16666666666666666	1/8	1/8	Chord	2/4	2	2	1/24		1/16	2/3	1515													
117	115	689/3	689/3	0.16666666666666666	1/6	1/6	Chord	2/4	2	2	1/24		1/16	2/3	1516													
117	115	1379/6	1379/6	0.16666666666666666	5/24	5/24	Chord	2/4	2	2	1/24		1/16	2/3	1517													
117	115	230	230	0.16666666666666666	1/4	1/4	Chord	2/4	2	2	1/24		1/16	2/3	1518													
117	115	1381/6	1381/6	0.16666666666666666	7/24	7/24	Chord	2/4	2	2	1/24		1/16	2/3	1519													
117	115	691/3	691/3	0.16666666666666666	1/3	1/3	Chord	2/4	2	2	1/24		1/16	2/3	1520													
117	115	461/2	461/2	0.16666666666666666	3/8	3/8	Chord	2/4	2	2	1/24		1/16	2/3	1521													
117	115	692/3	692/3	0.16666666666666666	5/12	5/12	Chord	2/4	2	2	1/24		1/16	2/3	1522													
