mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	dynamics	system_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	pedal	Pedal_<sym>keyboardPedalPed</sym>	Ottava:8va	crescendo_hairpin	crescendo_line	diminuendo_line	decrescendo_hairpin
32	31	93	93	0.75	1/2	1/2	Chord	3/4	1	1	3/16	1/8	3/2	215								78							14
32	31	375/4	375/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16	1/16	1	216															14
32	31	91	91	2.0	0	0	Chord	3/4	2	1	1/2	1/2	1	217															
32	31	93	93	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	218															
33	32	94	94	0.0	0	0	Dynamic	3/4	1	1	0				f														
33	32	94	94	0.0	0	0	Spanner	3/4	1	1	0																		
33	32	94	94	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	219								79							
33	32	95	95	0.5	1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	220															
33	32	96	96	0.0	1/2	1/2	Spanner	3/4	1	1	0																		15
33	32	96	96	0.75	1/2	1/2	Chord	3/4	1	1	3/16	1/8	3/2	221								80							15
33	32	387/4	387/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16	1/16	1	222															15
33	32	94	94	2.0	0	0	Chord	3/4	2	1	1/2	1/2	1	223															
33	32	96	96	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	224															
34	33	97	97	0.0	0	0	Dynamic	3/4	1	1	0				f														
34	33	97	97	0.0	0	0	Spanner	3/4	1	1	0																		
34	33	97	97	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	225								81							
34	33	98	98	0.5	1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	226															
34	33	99	99	0.0	1/2	1/2	Spanner	3/4	1	1	0																		16
34	33	99	99	0.75	1/2	1/2	Chord	3/4	1	1	3/16	1/8	3/2	227								82							16
34	33	399/4	399/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16	1/16	1	228															16
34	33	97	97	2.0	0	0	Chord	3/4	2	1	1/2	1/2	1	229															
34	33	99	99	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	230															
35	34	100	100	0.0	0	0	Spanner	3/4	1	1	0																		
35	34	100	100	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	231								83							
35	34	101	101	0.5	1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	232															
35	34	102	102	0.0	1/2	1/2	Dynamic	3/4	1	1	0				p														
35	34	102	102	0.75	1/2	1/2	Chord	3/4	1	1	3/16	1/8	3/2	233								84							
35	34	411/4	411/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16	1/16	1	234															
35	34	100	100	2.0	0	0	Chord	3/4	2	1	1/2	1/2	1	235															
35	34	102	102	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	236															
36	35	103	103	0.0	0	0	Spanner	3/4	1	1	0																	1	
36	35	103	103	2.0	0	0	Chord	3/4	1	1	1/2	1/2	1	237								85						1	
36	35	105	105	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	238								85						1	
36	35	103	103	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	239															
36	35	104	104	1.0	1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	240								86							
36	35	105	105	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	241								86							
37	36	106	106	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	242								85						1	
37	36	107	107	1.0	1/4	1/4	Chord	3/4	1	1	1/4	1/4	1	243								85						1	
37	36	108	108	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	244								85						1	
37	36	106	106	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	245								86							
37	36	107	107	1.0	1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	246								86							
37	36	108	108	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	247								86							
38	37	109	109	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	248								85						1	
38	37	110	110	0.0	1/4	1/4	Dynamic	3/4	1	1	0				pp							85							
38	37	110	110	0.0	1/4	1/4	Spanner	3/4	1	1	0											85							
38	37	110	110	1.0	1/4	1/4	Chord	3/4	1	1	1/4	1/4	1	249								85							
38	37	111	111	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	250								85							
38	37	109	109	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	251								86							
38	37	110	110	1.0	1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	252								86							
38	37	111	111	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	253								86							
38	37	109	109	2.0	0	0	Chord	3/4	2	2	1/2	1/2	1	254															
38	37	111	111	1.0	1/2	1/2	Chord	3/4	2	2	1/4	1/4	1	255															
39	38	112	112	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	256								85							
39	38	113	113	1.0	1/4	1/4	Chord	3/4	1	1	1/4	1/4	1	257															
39	38	112	112	2.0	0	0	Chord	3/4	1	2	1/2	1/2	1	258															
39	38	112	112	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	259								87							
39	38	113	113	1.0	1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	260															
39	38	112	112	2.0	0	0	Chord	3/4	2	2	1/2	1/2	1	261															
40	39	117	117	0.0	1/2	1/2	Dynamic	3/4	1	1	0				pp														
40	39	117	117	0.75	1/2	1/2	Chord	3/4	1	1	3/16	1/8	3/2	262								88							
40	39	471/4	471/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16	1/16	1	263															
41	40	118	118	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	264								89							
41	40	119	119	0.5	1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	265															
41	40	239/2	239/2	0.0	3/8	3/8	Dynamic	3/4	1	1	0				pp														
41	40	120	120	0.75	1/2	1/2	Chord	3/4	1	1	3/16	1/8	3/2	266								90							
41	40	483/4	483/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16	1/16	1	267															
41	40	120	120	1.0	1/2	1/2	Chord	3/4	1	2	1/4	1/4	1	268															
41	40	120	120	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	269															
41	40	120	120	0.75	1/2	1/2	Chord	3/4	2	2	3/16	1/8	3/2	270								91							
41	40	483/4	483/4	0.25	11/16	11/16	Chord	3/4	2	2	1/16	1/16	1	271															
42	41	121	121	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	272								92							
42	41	122	122	0.5	1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	273															
42	41	245/2	245/2	0.0	3/8	3/8	Dynamic	3/4	1	1	0				pp														
42	41	123	123	0.75	1/2	1/2	Chord	3/4	1	1	3/16	1/8	3/2	274								93							
42	41	495/4	495/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16	1/16	1	275															
42	41	121	121	1.5	0	0	Chord	3/4	1	2	3/8	1/4	3/2	276															
42	41	121	121	1.5	0	0	Chord	3/4	2	1	3/8	1/4	3/2	277															
42	41	123	123	0.0	1/2	1/2	Spanner	3/4	2	1	0												0	0					
42	41	123	123	0.75	1/2	1/2	Chord	3/4	2	1	3/16	1/8	3/2	278								94	0	0					
42	41	495/4	495/4	0.25	11/16	11/16	Chord	3/4	2	1	1/16	1/16	1	279									0	0					
42	41	121	121	1.0	0	0	Chord	3/4	2	2	1/4	1/4	1	280								95	0	0					
42	41	122	122	0.5	1/4	1/4	Chord	3/4	2	2	1/8	1/8	1	281									0	0					
43	42	124	124	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	282								96							
43	42	125	125	0.5	1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	283															
43	42	126	126	0.0	1/2	1/2	Spanner	3/4	1	1	0																3		
43	42	126	126	0.75	1/2	1/2	Chord	3/4	1	1	3/16	1/8	3/2	284								97					3		
43	42	507/4	507/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16	1/16	1	285													3		
43	42	124	124	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	286								98	0	0					
43	42	125	125	0.5	1/4	1/4	Chord	3/4	2	1	1/8	1/8	1	287									0	0					
43	42	126	126	0.0	1/2	1/2	Spanner	3/4	2	1	0																		
43	42	126	126	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	288															
44	43	127	127	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	289								99					3		
44	43	128	128	0.5	1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	290													3		
44	43	129	129	0.75	1/2	1/2	Chord	3/4	1	1	3/16	1/8	3/2	291								100					3		
44	43	519/4	519/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16	1/16	1	292													3		
44	43	127	127	2.0	0	0	Chord	3/4	2	1	1/2	1/2	1	293															
44	43	129	129	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	294															
45	44	130	130	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	295								101					3		
45	44	131	131	0.5	1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	296													3		
45	44	132	132	0.0	1/2	1/2	Dynamic	3/4	1	1	0				f														
45	44	132	132	0.0	1/2	1/2	Spanner	3/4	1	1	0																		
45	44	132	132	0.75	1/2	1/2	Chord	3/4	1	1	3/16	1/8	3/2	297								102							
45	44	531/4	531/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16	1/16	1	298															
45	44	130	130	2.0	0	0	Chord	3/4	2	1	1/2	1/2	1	299															
45	44	132	132	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	300															
46	45	133	133	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	301								103							
46	45	134	134	0.5	1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	302															
46	45	135	135	0.0	1/2	1/2	Dynamic	3/4	1	1	0				ff														
46	45	135	135	0.5	1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	303															
46	45	133	133	2.0	0	0	Chord	3/4	2	1	1/2	1/2	1	304															
46	45	135	135	0.5	1/2	1/2	Chord	3/4	2	1	1/8	1/8	1	305															
47	46	136	136	0.5	0	0	Chord	3/4	1	1	1/8	1/8	1	306															
47	46	136	136	0.5	0	0	Chord	3/4	2	1	1/8	1/8	1	307															
48	46	138	138	0.0	0	1/2	SystemText	3/4	1	1	0					"<i><font size=""12""/>semplice</i>"													
48	46	138	138	0.0	0	1/2	Dynamic	3/4	1	1	0				f														
48	46	138	138	1.0	0	1/2	Chord	3/4	1	1	1/4	1/4	1	308															
48	46	138	138	0.5	0	1/2	Chord	3/4	2	1	1/8	1/8	1	309															
49	47	139	139	0.0	0	0	Spanner	3/4	1	1	0																		17
49	47	139	139	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	310															17
49	47	140	140	1.0	1/4	1/4	Chord	3/4	1	1	1/4	1/4	1	311								104							17
49	47	141	141	0.0	1/2	1/2	Dynamic	3/4	1	1	0				mf														
49	47	141	141	0.0	1/2	1/2	Spanner	3/4	1	1	0																		
49	47	141	141	0.0	1/2	1/2	Spanner	3/4	1	1	0												1	1					
49	47	141	141	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	312									1	1					
49	47	139	139	0.5	0	0	Chord	3/4	2	1	1/8	1/8	1	313															
49	47	141	141	0.3333333333333333	1/2	1/2	Chord	3/4	2	1	1/12	1/8	2/3	314															
49	47	424/3	424/3	0.3333333333333333	7/12	7/12	Chord	3/4	2	1	1/12	1/8	2/3	315															
49	47	425/3	425/3	0.3333333333333333	2/3	2/3	Chord	3/4	2	1	1/12	1/8	2/3	316															
50	48	142	142	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	317									1	1					
50	48	143	143	1.0	1/4	1/4	Chord	3/4	1	1	1/4	1/4	1	318								105	1	1					
50	48	144	144	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	319									1	1					
50	48	142	142	0.3333333333333333	0	0	Chord	3/4	2	1	1/12	1/8	2/3	320															
50	48	427/3	427/3	0.3333333333333333	1/12	1/12	Chord	3/4	2	1	1/12	1/8	2/3	321															
50	48	428/3	428/3	0.3333333333333333	1/6	1/6	Chord	3/4	2	1	1/12	1/8	2/3	322															
50	48	143	143	0.3333333333333333	1/4	1/4	Chord	3/4	2	1	1/12	1/8	2/3	323															
50	48	430/3	430/3	0.3333333333333333	1/3	1/3	Chord	3/4	2	1	1/12	1/8	2/3	324															
50	48	431/3	431/3	0.3333333333333333	5/12	5/12	Chord	3/4	2	1	1/12	1/8	2/3	325															
50	48	144	144	0.3333333333333333	1/2	1/2	Chord	3/4	2	1	1/12	1/8	2/3	326															
50	48	433/3	433/3	0.3333333333333333	7/12	7/12	Chord	3/4	2	1	1/12	1/8	2/3	327															
50	48	434/3	434/3	0.3333333333333333	2/3	2/3	Chord	3/4	2	1	1/12	1/8	2/3	328															
51	49	145	145	0.0	0	0	SystemText	3/4	1	1	0					"<i><font size=""12""/>cresc.</i>"							1	1					
51	49	145	145	2.0	0	0	Chord	3/4	1	1	1/2	1/2	1	329								106	1	1					
51	49	147	147	0.0	1/2	1/2	Spanner	3/4	1	1	0											106	1	1		9			
51	49	147	147	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	330								106	1	1		9			
51	49	145	145	0.3333333333333333	0	0	Chord	3/4	2	1	1/12	1/8	2/3	331															
51	49	436/3	436/3	0.3333333333333333	1/12	1/12	Chord	3/4	2	1	1/12	1/8	2/3	332															
51	49	437/3	437/3	0.3333333333333333	1/6	1/6	Chord	3/4	2	1	1/12	1/8	2/3	333															
51	49	146	146	0.3333333333333333	1/4	1/4	Chord	3/4	2	1	1/12	1/8	2/3	334															
51	49	439/3	439/3	0.3333333333333333	1/3	1/3	Chord	3/4	2	1	1/12	1/8	2/3	335															
51	49	440/3	440/3	0.3333333333333333	5/12	5/12	Chord	3/4	2	1	1/12	1/8	2/3	336															
51	49	147	147	0.3333333333333333	1/2	1/2	Chord	3/4	2	1	1/12	1/8	2/3	337															
51	49	442/3	442/3	0.3333333333333333	7/12	7/12	Chord	3/4	2	1	1/12	1/8	2/3	338															
51	49	443/3	443/3	0.3333333333333333	2/3	2/3	Chord	3/4	2	1	1/12	1/8	2/3	339															
52	50	148	148	2.0	0	0	Chord	3/4	1	1	1/2	1/2	1	340								106	1	1		9			
52	50	150	150	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	341								106	1	1		9			
52	50	148	148	0.3333333333333333	0	0	Chord	3/4	2	1	1/12	1/8	2/3	342															
52	50	445/3	445/3	0.3333333333333333	1/12	1/12	Chord	3/4	2	1	1/12	1/8	2/3	343															
52	50	446/3	446/3	0.3333333333333333	1/6	1/6	Chord	3/4	2	1	1/12	1/8	2/3	344															
52	50	149	149	0.3333333333333333	1/4	1/4	Chord	3/4	2	1	1/12	1/8	2/3	345															
52	50	448/3	448/3	0.3333333333333333	1/3	1/3	Chord	3/4	2	1	1/12	1/8	2/3	346															
52	50	449/3	449/3	0.3333333333333333	5/12	5/12	Chord	3/4	2	1	1/12	1/8	2/3	347															
52	50	150	150	0.3333333333333333	1/2	1/2	Chord	3/4	2	1	1/12	1/8	2/3	348															
52	50	451/3	451/3	0.3333333333333333	7/12	7/12	Chord	3/4	2	1	1/12	1/8	2/3	349															
52	50	452/3	452/3	0.3333333333333333	2/3	2/3	Chord	3/4	2	1	1/12	1/8	2/3	350															
53	51	151	151	2.0	0	0	Chord	3/4	1	1	1/2	1/2	1	351								106	1	1		9			
53	51	153	153	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	352								106	1	1		9			
53	51	151	151	0.3333333333333333	0	0	Chord	3/4	2	1	1/12	1/8	2/3	353															
53	51	454/3	454/3	0.3333333333333333	1/12	1/12	Chord	3/4	2	1	1/12	1/8	2/3	354															
53	51	455/3	455/3	0.3333333333333333	1/6	1/6	Chord	3/4	2	1	1/12	1/8	2/3	355															
53	51	152	152	0.3333333333333333	1/4	1/4	Chord	3/4	2	1	1/12	1/8	2/3	356															
53	51	457/3	457/3	0.3333333333333333	1/3	1/3	Chord	3/4	2	1	1/12	1/8	2/3	357															
53	51	458/3	458/3	0.3333333333333333	5/12	5/12	Chord	3/4	2	1	1/12	1/8	2/3	358															
53	51	153	153	0.3333333333333333	1/2	1/2	Chord	3/4	2	1	1/12	1/8	2/3	359															
53	51	460/3	460/3	0.3333333333333333	7/12	7/12	Chord	3/4	2	1	1/12	1/8	2/3	360															
53	51	461/3	461/3	0.3333333333333333	2/3	2/3	Chord	3/4	2	1	1/12	1/8	2/3	361															
54	52	154	154	2.0	0	0	Chord	3/4	1	1	1/2	1/2	1	362								106	1	1		9			
54	52	156	156	0.0	1/2	1/2	Dynamic	3/4	1	1	0				f							106	1	1					
54	52	156	156	0.0	1/2	1/2	Spanner	3/4	1	1	0											106	1	1					
54	52	156	156	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	363								106	1	1					
54	52	154	154	0.3333333333333333	0	0	Chord	3/4	2	1	1/12	1/8	2/3	364															
54	52	463/3	463/3	0.3333333333333333	1/12	1/12	Chord	3/4	2	1	1/12	1/8	2/3	365															
54	52	464/3	464/3	0.3333333333333333	1/6	1/6	Chord	3/4	2	1	1/12	1/8	2/3	366															
54	52	155	155	0.3333333333333333	1/4	1/4	Chord	3/4	2	1	1/12	1/8	2/3	367															
54	52	466/3	466/3	0.3333333333333333	1/3	1/3	Chord	3/4	2	1	1/12	1/8	2/3	368															
54	52	467/3	467/3	0.3333333333333333	5/12	5/12	Chord	3/4	2	1	1/12	1/8	2/3	369															
54	52	156	156	0.3333333333333333	1/2	1/2	Chord	3/4	2	1	1/12	1/8	2/3	370															
54	52	469/3	469/3	0.3333333333333333	7/12	7/12	Chord	3/4	2	1	1/12	1/8	2/3	371															
54	52	470/3	470/3	0.3333333333333333	2/3	2/3	Chord	3/4	2	1	1/12	1/8	2/3	372															
55	53	157	157	0.0	0	0	Spanner	3/4	1	1	0											106							
55	53	157	157	0.0	0	0	Spanner	3/4	1	1	0											106							18
55	53	157	157	0.0	0	0	Spanner	3/4	1	1	0											106	2	2					18
55	53	157	157	2.0	0	0	Chord	3/4	1	1	1/2	1/2	1	373								106	2	2					18
55	53	159	159	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	374								106	2	2					18
55	53	157	157	0.3333333333333333	0	0	Chord	3/4	2	1	1/12	1/8	2/3	375															
55	53	472/3	472/3	0.3333333333333333	1/12	1/12	Chord	3/4	2	1	1/12	1/8	2/3	376															
55	53	473/3	473/3	0.3333333333333333	1/6	1/6	Chord	3/4	2	1	1/12	1/8	2/3	377															
55	53	158	158	0.3333333333333333	1/4	1/4	Chord	3/4	2	1	1/12	1/8	2/3	378															
55	53	475/3	475/3	0.3333333333333333	1/3	1/3	Chord	3/4	2	1	1/12	1/8	2/3	379															
55	53	476/3	476/3	0.3333333333333333	5/12	5/12	Chord	3/4	2	1	1/12	1/8	2/3	380															
55	53	159	159	0.3333333333333333	1/2	1/2	Chord	3/4	2	1	1/12	1/8	2/3	381															
55	53	478/3	478/3	0.3333333333333333	7/12	7/12	Chord	3/4	2	1	1/12	1/8	2/3	382															
55	53	479/3	479/3	0.3333333333333333	2/3	2/3	Chord	3/4	2	1	1/12	1/8	2/3	383															
56	54	160	160	0.0	0	0	Dynamic	3/4	1	1	0				p								2	2					
56	54	160	160	0.0	0	0	Spanner	3/4	1	1	0												2	2					
56	54	160	160	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	384									2	2					
56	54	162	162	0.5	1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	385									2	2					
56	54	325/2	325/2	0.0	5/8	5/8	Spanner	3/4	1	1	0																		
56	54	160	160	0.3333333333333333	0	0	Chord	3/4	2	1	1/12	1/8	2/3	386															
56	54	481/3	481/3	0.3333333333333333	1/12	1/12	Chord	3/4	2	1	1/12	1/8	2/3	387															
56	54	482/3	482/3	0.3333333333333333	1/6	1/6	Chord	3/4	2	1	1/12	1/8	2/3	388															
56	54	161	161	0.3333333333333333	1/4	1/4	Chord	3/4	2	1	1/12	1/8	2/3	389															
56	54	484/3	484/3	0.3333333333333333	1/3	1/3	Chord	3/4	2	1	1/12	1/8	2/3	390															
56	54	485/3	485/3	0.3333333333333333	5/12	5/12	Chord	3/4	2	1	1/12	1/8	2/3	391															
56	54	162	162	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	392															
57	55	163	163	0.5	0	0	Chord	3/4	1	1	1/8	1/8	1	393															
57	55	165	165	0.0	1/2	1/2	Spanner	3/4	1	1	0												3	3					
57	55	165	165	0.3333333333333333	1/2	1/2	Chord	3/4	1	1	1/12	1/8	2/3	394									3	3					
57	55	496/3	496/3	0.3333333333333333	7/12	7/12	Chord	3/4	1	1	1/12	1/8	2/3	395									3	3					
57	55	497/3	497/3	0.3333333333333333	2/3	2/3	Chord	3/4	1	1	1/12	1/8	2/3	396									3	3					
57	55	163	163	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	397															
57	55	164	164	1.0	1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	398															
57	55	165	165	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	399															
58	56	166	166	0.3333333333333333	0	0	Chord	3/4	1	1	1/12	1/8	2/3	400									3	3					
58	56	499/3	499/3	0.3333333333333333	1/12	1/12	Chord	3/4	1	1	1/12	1/8	2/3	401									3	3					
58	56	500/3	500/3	0.3333333333333333	1/6	1/6	Chord	3/4	1	1	1/12	1/8	2/3	402									3	3					
58	56	167	167	0.3333333333333333	1/4	1/4	Chord	3/4	1	1	1/12	1/8	2/3	403									3	3					
58	56	502/3	502/3	0.3333333333333333	1/3	1/3	Chord	3/4	1	1	1/12	1/8	2/3	404									3	3					
58	56	503/3	503/3	0.3333333333333333	5/12	5/12	Chord	3/4	1	1	1/12	1/8	2/3	405									3	3					
58	56	168	168	0.3333333333333333	1/2	1/2	Chord	3/4	1	1	1/12	1/8	2/3	406									3	3					
58	56	505/3	505/3	0.3333333333333333	7/12	7/12	Chord	3/4	1	1	1/12	1/8	2/3	407									3	3					
58	56	506/3	506/3	0.3333333333333333	2/3	2/3	Chord	3/4	1	1	1/12	1/8	2/3	408									3	3					
58	56	166	166	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	409															
58	56	167	167	1.0	1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	410								107							
58	56	168	168	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	411															
59	57	169	169	0.0	0	0	Spanner	3/4	1	1	0												3	3			4		
59	57	169	169	0.3333333333333333	0	0	Chord	3/4	1	1	1/12	1/8	2/3	412									3	3			4		
59	57	508/3	508/3	0.3333333333333333	1/12	1/12	Chord	3/4	1	1	1/12	1/8	2/3	413									3	3			4		
59	57	509/3	509/3	0.3333333333333333	1/6	1/6	Chord	3/4	1	1	1/12	1/8	2/3	414									3	3			4		
59	57	170	170	0.3333333333333333	1/4	1/4	Chord	3/4	1	1	1/12	1/8	2/3	415									3	3			4		
59	57	511/3	511/3	0.3333333333333333	1/3	1/3	Chord	3/4	1	1	1/12	1/8	2/3	416									3	3			4		
59	57	512/3	512/3	0.3333333333333333	5/12	5/12	Chord	3/4	1	1	1/12	1/8	2/3	417									3	3			4		
59	57	171	171	0.3333333333333333	1/2	1/2	Chord	3/4	1	1	1/12	1/8	2/3	418									3	3			4		
59	57	514/3	514/3	0.3333333333333333	7/12	7/12	Chord	3/4	1	1	1/12	1/8	2/3	419									3	3			4		
59	57	515/3	515/3	0.3333333333333333	2/3	2/3	Chord	3/4	1	1	1/12	1/8	2/3	420									3	3			4		
59	57	169	169	2.0	0	0	Chord	3/4	2	1	1/2	1/2	1	421								108							
59	57	171	171	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	422								108							
60	58	172	172	0.3333333333333333	0	0	Chord	3/4	1	1	1/12	1/8	2/3	423									3	3			4		
60	58	517/3	517/3	0.3333333333333333	1/12	1/12	Chord	3/4	1	1	1/12	1/8	2/3	424									3	3			4		
60	58	518/3	518/3	0.3333333333333333	1/6	1/6	Chord	3/4	1	1	1/12	1/8	2/3	425									3	3			4		
60	58	173	173	0.3333333333333333	1/4	1/4	Chord	3/4	1	1	1/12	1/8	2/3	426									3	3			4		
60	58	520/3	520/3	0.3333333333333333	1/3	1/3	Chord	3/4	1	1	1/12	1/8	2/3	427									3	3			4		
60	58	521/3	521/3	0.3333333333333333	5/12	5/12	Chord	3/4	1	1	1/12	1/8	2/3	428									3	3			4		
60	58	174	174	0.3333333333333333	1/2	1/2	Chord	3/4	1	1	1/12	1/8	2/3	429									3	3			4		
60	58	523/3	523/3	0.3333333333333333	7/12	7/12	Chord	3/4	1	1	1/12	1/8	2/3	430									3	3			4		
60	58	524/3	524/3	0.3333333333333333	2/3	2/3	Chord	3/4	1	1	1/12	1/8	2/3	431									3	3			4		
60	58	172	172	2.0	0	0	Chord	3/4	2	1	1/2	1/2	1	432								108							
60	58	174	174	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	433								108							
61	59	175	175	0.3333333333333333	0	0	Chord	3/4	1	1	1/12	1/8	2/3	434									3	3			4		
61	59	526/3	526/3	0.3333333333333333	1/12	1/12	Chord	3/4	1	1	1/12	1/8	2/3	435									3	3			4		
61	59	527/3	527/3	0.3333333333333333	1/6	1/6	Chord	3/4	1	1	1/12	1/8	2/3	436									3	3			4		
61	59	176	176	0.3333333333333333	1/4	1/4	Chord	3/4	1	1	1/12	1/8	2/3	437									3	3			4		
61	59	529/3	529/3	0.3333333333333333	1/3	1/3	Chord	3/4	1	1	1/12	1/8	2/3	438									3	3			4		
61	59	530/3	530/3	0.3333333333333333	5/12	5/12	Chord	3/4	1	1	1/12	1/8	2/3	439									3	3			4		
61	59	177	177	0.3333333333333333	1/2	1/2	Chord	3/4	1	1	1/12	1/8	2/3	440									3	3			4		
61	59	532/3	532/3	0.3333333333333333	7/12	7/12	Chord	3/4	1	1	1/12	1/8	2/3	441									3	3			4		
61	59	533/3	533/3	0.0	2/3	2/3	Dynamic	3/4	1	1	0				mf								3	3					
61	59	533/3	533/3	0.0	2/3	2/3	Spanner	3/4	1	1	0												3	3					
61	59	533/3	533/3	0.3333333333333333	2/3	2/3	Chord	3/4	1	1	1/12	1/8	2/3	442									3	3					
61	59	175	175	2.0	0	0	Chord	3/4	2	1	1/2	1/2	1	443								108							
61	59	177	177	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	444								108							
62	60	178	178	0.0	0	0	Spanner	3/4	1	1	0												3	3					19
62	60	178	178	0.3333333333333333	0	0	Chord	3/4	1	1	1/12	1/8	2/3	445									3	3					19
62	60	535/3	535/3	0.3333333333333333	1/12	1/12	Chord	3/4	1	1	1/12	1/8	2/3	446									3	3					19
62	60	536/3	536/3	0.3333333333333333	1/6	1/6	Chord	3/4	1	1	1/12	1/8	2/3	447									3	3					19
62	60	179	179	0.0	1/4	1/4	Spanner	3/4	1	1	0												3	3					
62	60	179	179	0.0	1/4	1/4	Spanner	3/4	1	1	0												3	3				2	
62	60	179	179	0.3333333333333333	1/4	1/4	Chord	3/4	1	1	1/12	1/8	2/3	448									3	3				2	
62	60	538/3	538/3	0.3333333333333333	1/3	1/3	Chord	3/4	1	1	1/12	1/8	2/3	449									3	3				2	
62	60	539/3	539/3	0.3333333333333333	5/12	5/12	Chord	3/4	1	1	1/12	1/8	2/3	450									3	3				2	
62	60	180	180	0.0	1/2	1/2	Spanner	3/4	1	1	0																	2	
62	60	180	180	0.3333333333333333	1/2	1/2	Chord	3/4	1	1	1/12	1/8	2/3	451														2	
