mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	lyrics_1	dynamics	articulation	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	decrescendo_hairpin	diminuendo_line	crescendo_line
66	65	259	259	1.0		3/4	3/4	Chord	2/2	1	1	1/4		1/4	1	763												
66	65	257	257	1.0		1/4	1/4	Chord	2/2	2	1	1/4		1/4	1	764												
66	65	258	258	1.0		1/2	1/2	Chord	2/2	2	1	1/4		1/4	1	765												
66	65	259	259	1.0		3/4	3/4	Chord	2/2	2	1	1/4		1/4	1	766												
66	65	256	256	4.0		0	0	Chord	2/2	2	2	1		1	1	767												
67	66	260	260	1.0		0	0	Chord	2/2	1	1	1/4		1/4	1	768			ornamentShortTrill						39			
67	66	261	261	1.0		1/4	1/4	Chord	2/2	1	1	1/4		1/4	1	769												
67	66	262	262	1.0		1/2	1/2	Chord	2/2	1	1	1/4		1/4	1	770			articStaccatoAbove									
67	66	263	263	1.0		3/4	3/4	Chord	2/2	1	1	1/4		1/4	1	771			articStaccatoAbove									
67	66	261	261	1.0		1/4	1/4	Chord	2/2	2	1	1/4		1/4	1	772												
67	66	262	262	1.0		1/2	1/2	Chord	2/2	2	1	1/4		1/4	1	773												
67	66	263	263	1.0		3/4	3/4	Chord	2/2	2	1	1/4		1/4	1	774												
67	66	260	260	4.0		0	0	Chord	2/2	2	2	1		1	1	775												
68	67	264	264	1.0		0	0	Chord	2/2	1	1	1/4		1/4	1	776												
68	67	265	265	1.0		1/4	1/4	Chord	2/2	1	1	1/4		1/4	1	777			articStaccatoBelow									
68	67	266	266	1.0		1/2	1/2	Chord	2/2	1	1	1/4		1/4	1	778			articStaccatoAbove									
68	67	267	267	1.0		3/4	3/4	Chord	2/2	1	1	1/4		1/4	1	779			articStaccatoAbove									
68	67	265	265	1.0		1/4	1/4	Chord	2/2	2	1	1/4		1/4	1	780												
68	67	266	266	1.0		1/2	1/2	Chord	2/2	2	1	1/4		1/4	1	781												
68	67	267	267	1.0		3/4	3/4	Chord	2/2	2	1	1/4		1/4	1	782												
68	67	264	264	4.0		0	0	Chord	2/2	2	2	1		1	1	783												
69	68	268	268	1.0		0	0	Chord	2/2	1	1	1/4		1/4	1	784			articStaccatoAbove									
69	68	269	269	1.0		1/4	1/4	Chord	2/2	1	1	1/4		1/4	1	785			articStaccatoBelow									
69	68	270	270	1.0		1/2	1/2	Chord	2/2	1	1	1/4		1/4	1	786			articStaccatoAbove									
69	68	271	271	1.0		3/4	3/4	Chord	2/2	1	1	1/4		1/4	1	787			articStaccatoAbove									
69	68	269	269	1.0		1/4	1/4	Chord	2/2	2	1	1/4		1/4	1	788												
69	68	270	270	1.0		1/2	1/2	Chord	2/2	2	1	1/4		1/4	1	789												
69	68	271	271	1.0		3/4	3/4	Chord	2/2	2	1	1/4		1/4	1	790												
69	68	268	268	4.0		0	0	Chord	2/2	2	2	1		1	1	791												
70	69	272	272	0.0		0	0	Dynamic	2/2	1	1	0						sf										
70	69	272	272	0.0		0	0	Chord	2/2	1	1	0	acciaccatura	1/8	1	792												
70	69	272	272	3.0		0	0	Chord	2/2	1	1	3/4		1/2	3/2	793									40			
70	69	275	275	1.0		3/4	3/4	Chord	2/2	1	1	1/4		1/4	1	794												
70	69	273	273	1.0		1/4	1/4	Chord	2/2	2	1	1/4		1/4	1	795												
70	69	274	274	1.0		1/2	1/2	Chord	2/2	2	1	1/4		1/4	1	796												
70	69	275	275	1.0		3/4	3/4	Chord	2/2	2	1	1/4		1/4	1	797												
70	69	272	272	4.0		0	0	Chord	2/2	2	2	1		1	1	798												
71	70	276	276	0.0		0	0	Dynamic	2/2	1	1	0						sf										
71	70	276	276	0.0		0	0	Chord	2/2	1	1	0	acciaccatura	1/8	1	799												
71	70	276	276	3.0		0	0	Chord	2/2	1	1	3/4		1/2	3/2	800									41			
71	70	279	279	1.0		3/4	3/4	Chord	2/2	1	1	1/4		1/4	1	801												
71	70	277	277	1.0		1/4	1/4	Chord	2/2	2	1	1/4		1/4	1	802												
71	70	278	278	1.0		1/2	1/2	Chord	2/2	2	1	1/4		1/4	1	803												
71	70	279	279	1.0		3/4	3/4	Chord	2/2	2	1	1/4		1/4	1	804												
71	70	276	276	4.0		0	0	Chord	2/2	2	2	1		1	1	805												
72	71	280	280	1.0		0	0	Chord	2/2	1	1	1/4		1/4	1	806												
72	71	281	281	1.0		1/4	1/4	Chord	2/2	1	1	1/4		1/4	1	807			articStaccatoBelow									
72	71	282	282	1.0		1/2	1/2	Chord	2/2	1	1	1/4		1/4	1	808			articStaccatoAbove									
72	71	283	283	1.0		3/4	3/4	Chord	2/2	1	1	1/4		1/4	1	809			articStaccatoAbove									
72	71	281	281	1.0		1/4	1/4	Chord	2/2	2	1	1/4		1/4	1	810												
72	71	282	282	1.0		1/2	1/2	Chord	2/2	2	1	1/4		1/4	1	811												
72	71	283	283	1.0		3/4	3/4	Chord	2/2	2	1	1/4		1/4	1	812												
72	71	280	280	4.0		0	0	Chord	2/2	2	2	1		1	1	813												
73	72	284	284	1.0		0	0	Chord	2/2	1	1	1/4		1/4	1	814			articStaccatoAbove									
73	72	285	285	1.0		1/4	1/4	Chord	2/2	1	1	1/4		1/4	1	815									42			
73	72	286	286	1.0		1/2	1/2	Chord	2/2	1	1	1/4		1/4	1	816									42			
73	72	287	287	1.0		3/4	3/4	Chord	2/2	1	1	1/4		1/4	1	817												
73	72	285	285	1.0		1/4	1/4	Chord	2/2	2	1	1/4		1/4	1	818												
73	72	286	286	1.0		1/2	1/2	Chord	2/2	2	1	1/4		1/4	1	819												
73	72	287	287	1.0		3/4	3/4	Chord	2/2	2	1	1/4		1/4	1	820												
73	72	284	284	4.0		0	0	Chord	2/2	2	2	1		1	1	821												
74	73	288	288	1.0		0	0	Chord	2/2	1	1	1/4		1/4	1	822			ornamentShortTrill						43			
74	73	289	289	1.0		1/4	1/4	Chord	2/2	1	1	1/4		1/4	1	823												
74	73	290	290	1.0		1/2	1/2	Chord	2/2	1	1	1/4		1/4	1	824			ornamentShortTrill						44			
74	73	291	291	1.0		3/4	3/4	Chord	2/2	1	1	1/4		1/4	1	825												
74	73	289	289	1.0		1/4	1/4	Chord	2/2	2	1	1/4		1/4	1	826												
74	73	290	290	1.0		1/2	1/2	Chord	2/2	2	1	1/4		1/4	1	827												
74	73	291	291	1.0		3/4	3/4	Chord	2/2	2	1	1/4		1/4	1	828												
74	73	288	288	4.0		0	0	Chord	2/2	2	2	1		1	1	829												
75	74	292	292	1.0		0	0	Chord	2/2	1	1	1/4		1/4	1	830			ornamentShortTrill						45			
75	74	293	293	1.0		1/4	1/4	Chord	2/2	1	1	1/4		1/4	1	831												
75	74	294	294	1.0		1/2	1/2	Chord	2/2	1	1	1/4		1/4	1	832			articStaccatoAbove									
75	74	295	295	1.0		3/4	3/4	Chord	2/2	1	1	1/4		1/4	1	833			articStaccatoAbove									
75	74	293	293	1.0		1/4	1/4	Chord	2/2	2	1	1/4		1/4	1	834												
75	74	294	294	1.0		1/2	1/2	Chord	2/2	2	1	1/4		1/4	1	835												
75	74	295	295	1.0		3/4	3/4	Chord	2/2	2	1	1/4		1/4	1	836												
75	74	292	292	4.0		0	0	Chord	2/2	2	2	1		1	1	837												
76	75	296	296	1.0		0	0	Chord	2/2	1	1	1/4		1/4	1	838												
76	75	297	297	0.0		1/4	1/4	Dynamic	2/2	1	1	0						sf										
76	75	297	297	1.0		1/4	1/4	Chord	2/2	1	1	1/4		1/4	1	839									46			
76	75	298	298	1.0		1/2	1/2	Chord	2/2	1	1	1/4		1/4	1	840												
76	75	299	299	1.0		3/4	3/4	Chord	2/2	1	1	1/4		1/4	1	841			articStaccatoBelow									
76	75	297	297	1.0		1/4	1/4	Chord	2/2	2	1	1/4		1/4	1	842												
76	75	299	299	1.0		3/4	3/4	Chord	2/2	2	1	1/4		1/4	1	843												
76	75	296	296	2.0		0	0	Chord	2/2	2	2	1/2		1/2	1	844												
76	75	298	298	2.0		1/2	1/2	Chord	2/2	2	2	1/2		1/2	1	845												
77	76	300	300	1.0		0	0	Chord	2/2	1	1	1/4		1/4	1	846			articStaccatoBelow									
77	76	301	301	1.0		1/4	1/4	Chord	2/2	1	1	1/4		1/4	1	847									47			
77	76	302	302	1.0		1/2	1/2	Chord	2/2	1	1	1/4		1/4	1	848									47			
77	76	303	303	1.0		3/4	3/4	Chord	2/2	1	1	1/4		1/4	1	849												
77	76	301	301	1.0		1/4	1/4	Chord	2/2	2	1	1/4		1/4	1	850												
77	76	302	302	1.0		1/2	1/2	Chord	2/2	2	1	1/4		1/4	1	851												
77	76	303	303	1.0		3/4	3/4	Chord	2/2	2	1	1/4		1/4	1	852												
77	76	300	300	4.0		0	0	Chord	2/2	2	2	1		1	1	853												
78	77	304	304	0.0		0	0	Spanner	2/2	1	1	0															0	
78	77	304	304	1.0		0	0	Chord	2/2	1	1	1/4		1/4	1	854			ornamentShortTrill						48		0	
78	77	305	305	0.0		1/4	1/4	Spanner	2/2	1	1	0																
78	77	305	305	1.0		1/4	1/4	Chord	2/2	1	1	1/4		1/4	1	855												
78	77	306	306	1.0		1/2	1/2	Chord	2/2	1	1	1/4		1/4	1	856			ornamentShortTrill						49			
78	77	307	307	1.0		3/4	3/4	Chord	2/2	1	1	1/4		1/4	1	857												
78	77	305	305	1.0		1/4	1/4	Chord	2/2	2	1	1/4		1/4	1	858												
78	77	306	306	1.0		1/2	1/2	Chord	2/2	2	1	1/4		1/4	1	859												
78	77	307	307	1.0		3/4	3/4	Chord	2/2	2	1	1/4		1/4	1	860												
78	77	304	304	4.0		0	0	Chord	2/2	2	2	1		1	1	861												
79	78	308	308	1.0		0	0	Chord	2/2	1	1	1/4		1/4	1	862			ornamentShortTrill						50			
79	78	309	309	1.0		1/4	1/4	Chord	2/2	1	1	1/4		1/4	1	863												
79	78	310	310	1.0		1/2	1/2	Chord	2/2	1	1	1/4		1/4	1	864			articStaccatoAbove									
79	78	311	311	1.0		3/4	3/4	Chord	2/2	1	1	1/4		1/4	1	865			articStaccatoAbove									
79	78	309	309	1.0		1/4	1/4	Chord	2/2	2	1	1/4		1/4	1	866												
79	78	310	310	1.0		1/2	1/2	Chord	2/2	2	1	1/4		1/4	1	867												
79	78	311	311	1.0		3/4	3/4	Chord	2/2	2	1	1/4		1/4	1	868												
79	78	308	308	4.0		0	0	Chord	2/2	2	2	1		1	1	869												
80	79	312	312	1.0		0	0	Chord	2/2	1	1	1/4		1/4	1	870												
80	79	313	313	0.0		1/4	1/4	Dynamic	2/2	1	1	0						sf										
80	79	313	313	1.0		1/4	1/4	Chord	2/2	1	1	1/4		1/4	1	871									51			
80	79	314	314	1.0		1/2	1/2	Chord	2/2	1	1	1/4		1/4	1	872												
80	79	315	315	1.0		3/4	3/4	Chord	2/2	1	1	1/4		1/4	1	873			articStaccatoAbove									
80	79	313	313	1.0		1/4	1/4	Chord	2/2	2	1	1/4		1/4	1	874												
80	79	315	315	1.0		3/4	3/4	Chord	2/2	2	1	1/4		1/4	1	875												
80	79	312	312	2.0		0	0	Chord	2/2	2	2	1/2		1/2	1	876												
80	79	314	314	2.0		1/2	1/2	Chord	2/2	2	2	1/2		1/2	1	877												
81	80	316	316	1.0		0	0	Chord	2/2	1	1	1/4		1/4	1	878			articStaccatoBelow									
81	80	317	317	1.0		1/4	1/4	Chord	2/2	1	1	1/4		1/4	1	879									52			
81	80	318	318	1.0		1/2	1/2	Chord	2/2	1	1	1/4		1/4	1	880									52			
81	80	319	319	1.0		3/4	3/4	Chord	2/2	1	1	1/4		1/4	1	881												
81	80	317	317	1.0		1/4	1/4	Chord	2/2	2	1	1/4		1/4	1	882												
81	80	318	318	1.0		1/2	1/2	Chord	2/2	2	1	1/4		1/4	1	883												
81	80	319	319	1.0		3/4	3/4	Chord	2/2	2	1	1/4		1/4	1	884												
81	80	316	316	4.0		0	0	Chord	2/2	2	2	1		1	1	885												
82	81	320	320	1.0		0	0	Chord	2/2	1	1	1/4		1/4	1	886			ornamentShortTrill						53			
82	81	321	321	1.0		1/4	1/4	Chord	2/2	1	1	1/4		1/4	1	887												
82	81	322	322	1.0		1/2	1/2	Chord	2/2	1	1	1/4		1/4	1	888			ornamentShortTrill						54			
82	81	323	323	1.0		3/4	3/4	Chord	2/2	1	1	1/4		1/4	1	889												
82	81	321	321	1.0		1/4	1/4	Chord	2/2	2	1	1/4		1/4	1	890												
82	81	322	322	1.0		1/2	1/2	Chord	2/2	2	1	1/4		1/4	1	891												
82	81	323	323	1.0		3/4	3/4	Chord	2/2	2	1	1/4		1/4	1	892												
82	81	320	320	4.0		0	0	Chord	2/2	2	2	1		1	1	893												
83	82	324	324	1.0		0	0	Chord	2/2	1	1	1/4		1/4	1	894			ornamentShortTrill						55			
83	82	325	325	1.0		1/4	1/4	Chord	2/2	1	1	1/4		1/4	1	895												
83	82	326	326	1.0		1/2	1/2	Chord	2/2	1	1	1/4		1/4	1	896									56			
83	82	327	327	1.0		3/4	3/4	Chord	2/2	1	1	1/4		1/4	1	897												
83	82	325	325	1.0		1/4	1/4	Chord	2/2	2	1	1/4		1/4	1	898												
83	82	326	326	1.0		1/2	1/2	Chord	2/2	2	1	1/4		1/4	1	899												
83	82	327	327	1.0		3/4	3/4	Chord	2/2	2	1	1/4		1/4	1	900												
83	82	324	324	4.0		0	0	Chord	2/2	2	2	1		1	1	901												
84	83	328	328	1.0		0	0	Chord	2/2	1	1	1/4		1/4	1	902			ornamentShortTrill						57			
84	83	329	329	1.0		1/4	1/4	Chord	2/2	1	1	1/4		1/4	1	903												
84	83	330	330	1.0		1/2	1/2	Chord	2/2	1	1	1/4		1/4	1	904			ornamentShortTrill						58			
84	83	331	331	1.0		3/4	3/4	Chord	2/2	1	1	1/4		1/4	1	905												
84	83	329	329	1.0		1/4	1/4	Chord	2/2	2	1	1/4		1/4	1	906												
84	83	330	330	1.0		1/2	1/2	Chord	2/2	2	1	1/4		1/4	1	907												
84	83	331	331	1.0		3/4	3/4	Chord	2/2	2	1	1/4		1/4	1	908												
84	83	328	328	4.0		0	0	Chord	2/2	2	2	1		1	1	909												
85	84	332	332	1.0		0	0	Chord	2/2	1	1	1/4		1/4	1	910			ornamentShortTrill						59			
85	84	333	333	1.0		1/4	1/4	Chord	2/2	1	1	1/4		1/4	1	911												
85	84	334	334	1.0		1/2	1/2	Chord	2/2	1	1	1/4		1/4	1	912									60			
85	84	335	335	1.0		3/4	3/4	Chord	2/2	1	1	1/4		1/4	1	913												
85	84	333	333	1.0		1/4	1/4	Chord	2/2	2	1	1/4		1/4	1	914												
85	84	334	334	1.0		1/2	1/2	Chord	2/2	2	1	1/4		1/4	1	915												
85	84	335	335	1.0		3/4	3/4	Chord	2/2	2	1	1/4		1/4	1	916												
85	84	332	332	2.0		0	0	Chord	2/2	2	2	1/2		1/2	1	917									61			
85	84	334	334	2.0		1/2	1/2	Chord	2/2	2	2	1/2		1/2	1	918									61			
86	85	336	336	1.0		0	0	Chord	2/2	1	1	1/4		1/4	1	919			ornamentShortTrill						62			
86	85	337	337	1.0		1/4	1/4	Chord	2/2	1	1	1/4		1/4	1	920												
86	85	338	338	1.0		1/2	1/2	Chord	2/2	1	1	1/4		1/4	1	921			ornamentShortTrill						63			
86	85	339	339	1.0		3/4	3/4	Chord	2/2	1	1	1/4		1/4	1	922												
86	85	337	337	1.0		1/4	1/4	Chord	2/2	2	1	1/4		1/4	1	923												
86	85	338	338	1.0		1/2	1/2	Chord	2/2	2	1	1/4		1/4	1	924												
86	85	339	339	1.0		3/4	3/4	Chord	2/2	2	1	1/4		1/4	1	925												
86	85	336	336	4.0		0	0	Chord	2/2	2	2	1		1	1	926												
87	86	340	340	1.0		0	0	Chord	2/2	1	1	1/4		1/4	1	927			ornamentShortTrill						64			
87	86	341	341	1.0		1/4	1/4	Chord	2/2	1	1	1/4		1/4	1	928												
87	86	342	342	1.0		1/2	1/2	Chord	2/2	1	1	1/4		1/4	1	929			ornamentShortTrill						65			
87	86	343	343	1.0		3/4	3/4	Chord	2/2	1	1	1/4		1/4	1	930												
87	86	341	341	1.0		1/4	1/4	Chord	2/2	2	1	1/4		1/4	1	931												
87	86	342	342	1.0		1/2	1/2	Chord	2/2	2	1	1/4		1/4	1	932												
87	86	343	343	1.0		3/4	3/4	Chord	2/2	2	1	1/4		1/4	1	933												
87	86	340	340	4.0		0	0	Chord	2/2	2	2	1		1	1	934												
88	87	344	344	1.0		0	0	Chord	2/2	1	1	1/4		1/4	1	935			ornamentShortTrill						66			
88	87	345	345	1.0		1/4	1/4	Chord	2/2	1	1	1/4		1/4	1	936												
88	87	346	346	1.0		1/2	1/2	Chord	2/2	1	1	1/4		1/4	1	937			articStaccatoAbove									
88	87	347	347	1.0		3/4	3/4	Chord	2/2	1	1	1/4		1/4	1	938			articStaccatoAbove									
88	87	345	345	1.0		1/4	1/4	Chord	2/2	2	1	1/4		1/4	1	939												
88	87	346	346	1.0		1/2	1/2	Chord	2/2	2	1	1/4		1/4	1	940												
88	87	347	347	1.0		3/4	3/4	Chord	2/2	2	1	1/4		1/4	1	941												
88	87	344	344	4.0		0	0	Chord	2/2	2	2	1		1	1	942												
89	88	348	348	0.0		0	0	Dynamic	2/2	1	1	0						pp										
89	88	348	348	1.0		0	0	Chord	2/2	1	1	1/4		1/4	1	943	pp		ornamentShortTrill						67			
89	88	349	349	1.0		1/4	1/4	Chord	2/2	1	1	1/4		1/4	1	944												
89	88	350	350	1.0		1/2	1/2	Chord	2/2	1	1	1/4		1/4	1	945			articStaccatoAbove									
89	88	351	351	1.0		3/4	3/4	Chord	2/2	1	1	1/4		1/4	1	946			articStaccatoAbove									
89	88	349	349	1.0		1/4	1/4	Chord	2/2	2	1	1/4		1/4	1	947												
89	88	350	350	1.0		1/2	1/2	Chord	2/2	2	1	1/4		1/4	1	948												
89	88	351	351	1.0		3/4	3/4	Chord	2/2	2	1	1/4		1/4	1	949												
89	88	348	348	4.0		0	0	Chord	2/2	2	2	1		1	1	950												
90	89	354	354	2.0		1/2	1/2	Chord	2/2	1	1	1/2		1/2	1	951												
90	89	352	352	0.0		0	0	Dynamic	2/2	1	2	0						p										
90	89	705/2	705/2	0.5		1/8	1/8	Chord	2/2	1	2	1/8		1/8	1	952	p											
90	89	353	353	0.5		1/4	1/4	Chord	2/2	1	2	1/8		1/8	1	953												
90	89	707/2	707/2	0.5		3/8	3/8	Chord	2/2	1	2	1/8		1/8	1	954												
90	89	354	354	0.5		1/2	1/2	Chord	2/2	1	2	1/8		1/8	1	955												
90	89	709/2	709/2	0.5		5/8	5/8	Chord	2/2	1	2	1/8		1/8	1	956												
90	89	355	355	0.5		3/4	3/4	Chord	2/2	1	2	1/8		1/8	1	957												
90	89	711/2	711/2	0.5		7/8	7/8	Chord	2/2	1	2	1/8		1/8	1	958												
90	89	705/2	705/2	0.5		1/8	1/8	Chord	2/2	2	1	1/8		1/8	1	959												
90	89	353	353	0.5		1/4	1/4	Chord	2/2	2	1	1/8		1/8	1	960												
90	89	707/2	707/2	0.5		3/8	3/8	Chord	2/2	2	1	1/8		1/8	1	961												
90	89	354	354	0.5		1/2	1/2	Chord	2/2	2	1	1/8		1/8	1	962												
90	89	709/2	709/2	0.5		5/8	5/8	Chord	2/2	2	1	1/8		1/8	1	963												
90	89	355	355	0.5		3/4	3/4	Chord	2/2	2	1	1/8		1/8	1	964												
90	89	711/2	711/2	0.5		7/8	7/8	Chord	2/2	2	1	1/8		1/8	1	965												
90	89	352	352	4.0		0	0	Chord	2/2	2	2	1		1	1	966												
91	90	356	356	2.0		0	0	Chord	2/2	1	1	1/2		1/2	1	967												
91	90	358	358	2.0		1/2	1/2	Chord	2/2	1	1	1/2		1/2	1	968												
91	90	356	356	0.5		0	0	Chord	2/2	1	2	1/8		1/8	1	969												
91	90	713/2	713/2	0.5		1/8	1/8	Chord	2/2	1	2	1/8		1/8	1	970												
91	90	357	357	0.5		1/4	1/4	Chord	2/2	1	2	1/8		1/8	1	971												
91	90	715/2	715/2	0.5		3/8	3/8	Chord	2/2	1	2	1/8		1/8	1	972												
91	90	717/2	717/2	0.5		5/8	5/8	Chord	2/2	1	2	1/8		1/8	1	973												
91	90	359	359	0.5		3/4	3/4	Chord	2/2	1	2	1/8		1/8	1	974												
91	90	719/2	719/2	0.5		7/8	7/8	Chord	2/2	1	2	1/8		1/8	1	975												
91	90	356	356	0.5		0	0	Chord	2/2	2	1	1/8		1/8	1	976												
91	90	713/2	713/2	0.5		1/8	1/8	Chord	2/2	2	1	1/8		1/8	1	977												
91	90	357	357	0.5		1/4	1/4	Chord	2/2	2	1	1/8		1/8	1	978												
91	90	715/2	715/2	0.5		3/8	3/8	Chord	2/2	2	1	1/8		1/8	1	979												
91	90	717/2	717/2	0.5		5/8	5/8	Chord	2/2	2	1	1/8		1/8	1	980												
91	90	359	359	0.5		3/4	3/4	Chord	2/2	2	1	1/8		1/8	1	981												
91	90	719/2	719/2	0.5		7/8	7/8	Chord	2/2	2	1	1/8		1/8	1	982												
91	90	356	356	2.0		0	0	Chord	2/2	2	2	1/2		1/2	1	983												
91	90	358	358	2.0		1/2	1/2	Chord	2/2	2	2	1/2		1/2	1	984												
92	91	362	362	2.0		1/2	1/2	Chord	2/2	1	1	1/2		1/2	1	985												
92	91	721/2	721/2	0.5		1/8	1/8	Chord	2/2	1	2	1/8		1/8	1	986												
92	91	361	361	0.5		1/4	1/4	Chord	2/2	1	2	1/8		1/8	1	987												
92	91	723/2	723/2	0.5		3/8	3/8	Chord	2/2	1	2	1/8		1/8	1	988												
92	91	362	362	0.5		1/2	1/2	Chord	2/2	1	2	1/8		1/8	1	989												
92	91	725/2	725/2	0.5		5/8	5/8	Chord	2/2	1	2	1/8		1/8	1	990												
92	91	363	363	0.5		3/4	3/4	Chord	2/2	1	2	1/8		1/8	1	991												
92	91	727/2	727/2	0.5		7/8	7/8	Chord	2/2	1	2	1/8		1/8	1	992												
92	91	721/2	721/2	0.5		1/8	1/8	Chord	2/2	2	1	1/8		1/8	1	993												
92	91	361	361	0.5		1/4	1/4	Chord	2/2	2	1	1/8		1/8	1	994												
92	91	723/2	723/2	0.5		3/8	3/8	Chord	2/2	2	1	1/8		1/8	1	995												
92	91	362	362	0.5		1/2	1/2	Chord	2/2	2	1	1/8		1/8	1	996												
92	91	725/2	725/2	0.5		5/8	5/8	Chord	2/2	2	1	1/8		1/8	1	997												
92	91	363	363	0.5		3/4	3/4	Chord	2/2	2	1	1/8		1/8	1	998												
92	91	727/2	727/2	0.5		7/8	7/8	Chord	2/2	2	1	1/8		1/8	1	999												
92	91	360	360	4.0		0	0	Chord	2/2	2	2	1		1	1	1000												
93	92	364	364	2.0		0	0	Chord	2/2	1	1	1/2		1/2	1	1001												
93	92	366	366	2.0		1/2	1/2	Chord	2/2	1	1	1/2		1/2	1	1002												
93	92	364	364	0.5		0	0	Chord	2/2	1	2	1/8		1/8	1	1003												
93	92	729/2	729/2	0.5		1/8	1/8	Chord	2/2	1	2	1/8		1/8	1	1004												
93	92	365	365	0.5		1/4	1/4	Chord	2/2	1	2	1/8		1/8	1	1005												
93	92	731/2	731/2	0.5		3/8	3/8	Chord	2/2	1	2	1/8		1/8	1	1006												
93	92	733/2	733/2	0.5		5/8	5/8	Chord	2/2	1	2	1/8		1/8	1	1007												
93	92	367	367	0.5		3/4	3/4	Chord	2/2	1	2	1/8		1/8	1	1008												
93	92	735/2	735/2	0.5		7/8	7/8	Chord	2/2	1	2	1/8		1/8	1	1009												
93	92	364	364	0.5		0	0	Chord	2/2	2	1	1/8		1/8	1	1010												
93	92	729/2	729/2	0.5		1/8	1/8	Chord	2/2	2	1	1/8		1/8	1	1011												
93	92	365	365	0.5		1/4	1/4	Chord	2/2	2	1	1/8		1/8	1	1012												
93	92	731/2	731/2	0.5		3/8	3/8	Chord	2/2	2	1	1/8		1/8	1	1013												
93	92	733/2	733/2	0.5		5/8	5/8	Chord	2/2	2	1	1/8		1/8	1	1014												
93	92	367	367	0.5		3/4	3/4	Chord	2/2	2	1	1/8		1/8	1	1015												
93	92	735/2	735/2	0.5		7/8	7/8	Chord	2/2	2	1	1/8		1/8	1	1016												
93	92	364	364	2.0		0	0	Chord	2/2	2	2	1/2		1/2	1	1017												
93	92	366	366	2.0		1/2	1/2	Chord	2/2	2	2	1/2		1/2	1	1018												
94	93	368	368	0.5		0	0	Chord	2/2	1	1	1/8		1/8	1	1019			articStaccatoBelow									
94	93	737/2	737/2	0.5		1/8	1/8	Chord	2/2	1	1	1/8		1/8	1	1020												
94	93	369	369	0.5		1/4	1/4	Chord	2/2	1	1	1/8		1/8	1	1021												
94	93	739/2	739/2	0.0		3/8	3/8	Spanner	2/2	1	1	0																5
94	93	739/2	739/2	0.5		3/8	3/8	Chord	2/2	1	1	1/8		1/8	1	1022												5
94	93	370	370	0.0		1/2	1/2	Spanner	2/2	1	1	0																
94	93	370	370	0.5		1/2	1/2	Chord	2/2	1	1	1/8		1/8	1	1023			articStaccatoBelow									
94	93	741/2	741/2	0.5		5/8	5/8	Chord	2/2	1	1	1/8		1/8	1	1024												
94	93	371	371	0.5		3/4	3/4	Chord	2/2	1	1	1/8		1/8	1	1025												
94	93	743/2	743/2	0.5		7/8	7/8	Chord	2/2	1	1	1/8		1/8	1	1026												
94	93	368	368	0.5		0	0	Chord	2/2	2	1	1/8		1/8	1	1027			articStaccatoAbove									
94	93	737/2	737/2	0.5		1/8	1/8	Chord	2/2	2	1	1/8		1/8	1	1028												
94	93	369	369	0.5		1/4	1/4	Chord	2/2	2	1	1/8		1/8	1	1029												
94	93	739/2	739/2	0.5		3/8	3/8	Chord	2/2	2	1	1/8		1/8	1	1030												
94	93	370	370	0.5		1/2	1/2	Chord	2/2	2	1	1/8		1/8	1	1031			articStaccatoAbove									
94	93	741/2	741/2	0.5		5/8	5/8	Chord	2/2	2	1	1/8		1/8	1	1032												
94	93	371	371	0.5		3/4	3/4	Chord	2/2	2	1	1/8		1/8	1	1033												
94	93	743/2	743/2	0.5		7/8	7/8	Chord	2/2	2	1	1/8		1/8	1	1034												
95	94	372	372	0.5		0	0	Chord	2/2	1	1	1/8		1/8	1	1035			articStaccatoBelow									
95	94	745/2	745/2	0.5		1/8	1/8	Chord	2/2	1	1	1/8		1/8	1	1036												
95	94	373	373	0.5		1/4	1/4	Chord	2/2	1	1	1/8		1/8	1	1037												
95	94	747/2	747/2	0.5		3/8	3/8	Chord	2/2	1	1	1/8		1/8	1	1038												
95	94	374	374	0.5		1/2	1/2	Chord	2/2	1	1	1/8		1/8	1	1039			articStaccatoAbove									
95	94	749/2	749/2	0.5		5/8	5/8	Chord	2/2	1	1	1/8		1/8	1	1040												
95	94	375	375	0.5		3/4	3/4	Chord	2/2	1	1	1/8		1/8	1	1041												
95	94	751/2	751/2	0.5		7/8	7/8	Chord	2/2	1	1	1/8		1/8	1	1042												
95	94	372	372	0.5		0	0	Chord	2/2	2	1	1/8		1/8	1	1043			articStaccatoAbove									
95	94	745/2	745/2	0.5		1/8	1/8	Chord	2/2	2	1	1/8		1/8	1	1044												
95	94	373	373	0.5		1/4	1/4	Chord	2/2	2	1	1/8		1/8	1	1045												
95	94	747/2	747/2	0.5		3/8	3/8	Chord	2/2	2	1	1/8		1/8	1	1046												
95	94	374	374	0.5		1/2	1/2	Chord	2/2	2	1	1/8		1/8	1	1047			articStaccatoAbove									
95	94	749/2	749/2	0.5		5/8	5/8	Chord	2/2	2	1	1/8		1/8	1	1048												
95	94	375	375	0.5		3/4	3/4	Chord	2/2	2	1	1/8		1/8	1	1049												
95	94	751/2	751/2	0.5		7/8	7/8	Chord	2/2	2	1	1/8		1/8	1	1050												
