mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	tremolo	nominal_duration	scalar	chord_id	dynamics	articulation	system_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	Trill:trill	Ottava:8va	pedal	Pedal_<sym>keyboardPedalPed</sym>	decrescendo_hairpin	crescendo_hairpin	crescendo_line	diminuendo_line
45	45	132	132	1.5	0	0	Chord	6/8	2	2	3/8			1/4	3/2	715																	
45	45	267/2	267/2	1.0	3/8	3/8	Chord	6/8	2	2	1/4			1/4	1	716																	
45	45	269/2	269/2	0.5	5/8	5/8	Chord	6/8	2	2	1/8			1/8	1	717																	
46	46	135	135	1.5	0	0	Chord	6/8	1	1	3/8			1/4	3/2	718																	
46	46	273/2	273/2	1.0	3/8	3/8	Chord	6/8	1	1	1/4			1/4	1	719																	
46	46	275/2	275/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8			1/8	1	720																	
46	46	135	135	0.25	0	0	Chord	6/8	2	1	1/16			1/16	1	721																	
46	46	541/4	541/4	0.25	1/16	1/16	Chord	6/8	2	1	1/16			1/16	1	722																	
46	46	271/2	271/2	0.25	1/8	1/8	Chord	6/8	2	1	1/16			1/16	1	723																	
46	46	543/4	543/4	0.25	3/16	3/16	Chord	6/8	2	1	1/16			1/16	1	724																	
46	46	136	136	0.25	1/4	1/4	Chord	6/8	2	1	1/16			1/16	1	725																	
46	46	545/4	545/4	0.25	5/16	5/16	Chord	6/8	2	1	1/16			1/16	1	726																	
46	46	273/2	273/2	0.25	3/8	3/8	Chord	6/8	2	1	1/16			1/16	1	727																	
46	46	547/4	547/4	0.25	7/16	7/16	Chord	6/8	2	1	1/16			1/16	1	728																	
46	46	137	137	0.25	1/2	1/2	Chord	6/8	2	1	1/16			1/16	1	729																	
46	46	549/4	549/4	0.25	9/16	9/16	Chord	6/8	2	1	1/16			1/16	1	730																	
46	46	275/2	275/2	0.25	5/8	5/8	Chord	6/8	2	1	1/16			1/16	1	731																	
46	46	551/4	551/4	0.25	11/16	11/16	Chord	6/8	2	1	1/16			1/16	1	732																	
46	46	135	135	0.5	0	0	Chord	6/8	2	2	1/8			1/8	1	733									50								
46	46	271/2	271/2	0.5	1/8	1/8	Chord	6/8	2	2	1/8			1/8	1	734									50								
46	46	136	136	0.5	1/4	1/4	Chord	6/8	2	2	1/8			1/8	1	735																	
46	46	273/2	273/2	0.5	3/8	3/8	Chord	6/8	2	2	1/8			1/8	1	736									51								
46	46	137	137	0.5	1/2	1/2	Chord	6/8	2	2	1/8			1/8	1	737									51								
46	46	275/2	275/2	0.5	5/8	5/8	Chord	6/8	2	2	1/8			1/8	1	738																	
47	47	138	138	0.5	0	0	Chord	6/8	1	1	1/8			1/8	1	739																	
47	47	139	139	0.5	1/4	1/4	Chord	6/8	1	1	1/8			1/8	1	740																	
47	47	279/2	279/2	1.0	3/8	3/8	Chord	6/8	1	1	1/4			1/4	1	741																	
47	47	281/2	281/2	0.25	5/8	5/8	Chord	6/8	1	1	1/16			1/16	1	742									52								
47	47	563/4	563/4	0.25	11/16	11/16	Chord	6/8	1	1	1/16			1/16	1	743																	
47	47	138	138	0.25	0	0	Chord	6/8	2	1	1/16			1/16	1	744																	
47	47	553/4	553/4	0.25	1/16	1/16	Chord	6/8	2	1	1/16			1/16	1	745																	
47	47	277/2	277/2	0.25	1/8	1/8	Chord	6/8	2	1	1/16			1/16	1	746																	
47	47	555/4	555/4	0.25	3/16	3/16	Chord	6/8	2	1	1/16			1/16	1	747																	
47	47	139	139	0.25	1/4	1/4	Chord	6/8	2	1	1/16			1/16	1	748																	
47	47	557/4	557/4	0.25	5/16	5/16	Chord	6/8	2	1	1/16			1/16	1	749																	
47	47	279/2	279/2	0.25	3/8	3/8	Chord	6/8	2	1	1/16			1/16	1	750																	
47	47	559/4	559/4	0.25	7/16	7/16	Chord	6/8	2	1	1/16			1/16	1	751																	
47	47	140	140	0.25	1/2	1/2	Chord	6/8	2	1	1/16			1/16	1	752																	
47	47	561/4	561/4	0.25	9/16	9/16	Chord	6/8	2	1	1/16			1/16	1	753																	
47	47	281/2	281/2	0.25	5/8	5/8	Chord	6/8	2	1	1/16			1/16	1	754																	
47	47	563/4	563/4	0.25	11/16	11/16	Chord	6/8	2	1	1/16			1/16	1	755																	
47	47	138	138	1.5	0	0	Chord	6/8	2	2	3/8			1/4	3/2	756																	
47	47	279/2	279/2	1.0	3/8	3/8	Chord	6/8	2	2	1/4			1/4	1	757																	
47	47	281/2	281/2	0.5	5/8	5/8	Chord	6/8	2	2	1/8			1/8	1	758																	
48	48	141	141	1.5	0	0	Chord	6/8	1	1	3/8			1/4	3/2	759																	
48	48	285/2	285/2	1.0	3/8	3/8	Chord	6/8	1	1	1/4			1/4	1	760																	
48	48	287/2	287/2	0.0	5/8	5/8	Tempo	6/8	1	1	0									𝅘𝅥𝅮=86	43.0	𝅘𝅥𝅮	86.0	0.0									
48	48	287/2	287/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8			1/8	1	761																	
48	48	141	141	0.25	0	0	Chord	6/8	2	1	1/16			1/16	1	762																	
48	48	565/4	565/4	0.25	1/16	1/16	Chord	6/8	2	1	1/16			1/16	1	763																	
48	48	283/2	283/2	0.25	1/8	1/8	Chord	6/8	2	1	1/16			1/16	1	764																	
48	48	567/4	567/4	0.25	3/16	3/16	Chord	6/8	2	1	1/16			1/16	1	765																	
48	48	142	142	0.25	1/4	1/4	Chord	6/8	2	1	1/16			1/16	1	766																	
48	48	569/4	569/4	0.25	5/16	5/16	Chord	6/8	2	1	1/16			1/16	1	767																	
48	48	285/2	285/2	0.25	3/8	3/8	Chord	6/8	2	1	1/16			1/16	1	768																	
48	48	571/4	571/4	0.25	7/16	7/16	Chord	6/8	2	1	1/16			1/16	1	769																	
48	48	143	143	0.25	1/2	1/2	Chord	6/8	2	1	1/16			1/16	1	770																	
48	48	573/4	573/4	0.25	9/16	9/16	Chord	6/8	2	1	1/16			1/16	1	771																	
48	48	287/2	287/2	0.25	5/8	5/8	Chord	6/8	2	1	1/16			1/16	1	772																	
48	48	575/4	575/4	0.25	11/16	11/16	Chord	6/8	2	1	1/16			1/16	1	773																	
48	48	141	141	0.5	0	0	Chord	6/8	2	2	1/8			1/8	1	774									53								
48	48	283/2	283/2	0.5	1/8	1/8	Chord	6/8	2	2	1/8			1/8	1	775									53								
48	48	142	142	0.5	1/4	1/4	Chord	6/8	2	2	1/8			1/8	1	776																	
48	48	285/2	285/2	0.5	3/8	3/8	Chord	6/8	2	2	1/8			1/8	1	777									54								
48	48	143	143	0.5	1/2	1/2	Chord	6/8	2	2	1/8			1/8	1	778									54								
48	48	287/2	287/2	0.5	5/8	5/8	Chord	6/8	2	2	1/8			1/8	1	779																	
49	49	144	144	0.0	0	0	Tempo	6/8	1	1	0									𝅘𝅥𝅮=88	44.0	𝅘𝅥𝅮	88.0	0.0									
49	49	144	144	0.5	0	0	Chord	6/8	1	1	1/8			1/8	1	780																	
49	49	145	145	0.5	1/4	1/4	Chord	6/8	1	1	1/8			1/8	1	781																	
49	49	291/2	291/2	0.5	3/8	3/8	Chord	6/8	1	1	1/8			1/8	1	782																	
49	49	146	146	0.5	1/2	1/2	Chord	6/8	1	1	1/8			1/8	1	783																	
49	49	293/2	293/2	0.0	5/8	5/8	Spanner	6/8	1	1	0																				10		
49	49	293/2	293/2	0.16666666666666666	5/8	5/8	Chord	6/8	1	1	1/24			1/16	2/3	784									55						10		
49	49	440/3	440/3	0.0	2/3	2/3	Dynamic	6/8	1	1	0						mp								55						10		
49	49	440/3	440/3	0.0	2/3	2/3	Spanner	6/8	1	1	0														55					12	10		
49	49	440/3	440/3	0.16666666666666666	2/3	2/3	Chord	6/8	1	1	1/24			1/16	2/3	785									55					12	10		
49	49	881/6	881/6	0.0	17/24	17/24	Spanner	6/8	1	1	0																			12			
49	49	881/6	881/6	0.16666666666666666	17/24	17/24	Chord	6/8	1	1	1/24			1/16	2/3	786														12			
49	49	144	144	0.16666666666666666	0	0	Chord	6/8	2	1	1/24			1/16	2/3	787																	
49	49	865/6	865/6	0.16666666666666666	1/24	1/24	Chord	6/8	2	1	1/24			1/16	2/3	788																	
49	49	433/3	433/3	0.16666666666666666	1/12	1/12	Chord	6/8	2	1	1/24			1/16	2/3	789																	
49	49	289/2	289/2	0.16666666666666666	1/8	1/8	Chord	6/8	2	1	1/24			1/16	2/3	790																	
49	49	434/3	434/3	0.16666666666666666	1/6	1/6	Chord	6/8	2	1	1/24			1/16	2/3	791																	
49	49	869/6	869/6	0.16666666666666666	5/24	5/24	Chord	6/8	2	1	1/24			1/16	2/3	792																	
49	49	145	145	0.16666666666666666	1/4	1/4	Chord	6/8	2	1	1/24			1/16	2/3	793																	
49	49	871/6	871/6	0.16666666666666666	7/24	7/24	Chord	6/8	2	1	1/24			1/16	2/3	794																	
49	49	436/3	436/3	0.16666666666666666	1/3	1/3	Chord	6/8	2	1	1/24			1/16	2/3	795																	
49	49	291/2	291/2	0.16666666666666666	3/8	3/8	Chord	6/8	2	1	1/24			1/16	2/3	796																	
49	49	437/3	437/3	0.16666666666666666	5/12	5/12	Chord	6/8	2	1	1/24			1/16	2/3	797																	
49	49	875/6	875/6	0.16666666666666666	11/24	11/24	Chord	6/8	2	1	1/24			1/16	2/3	798																	
49	49	146	146	0.16666666666666666	1/2	1/2	Chord	6/8	2	1	1/24			1/16	2/3	799																	
49	49	877/6	877/6	0.16666666666666666	13/24	13/24	Chord	6/8	2	1	1/24			1/16	2/3	800																	
49	49	439/3	439/3	0.16666666666666666	7/12	7/12	Chord	6/8	2	1	1/24			1/16	2/3	801																	
49	49	293/2	293/2	0.16666666666666666	5/8	5/8	Chord	6/8	2	1	1/24			1/16	2/3	802																	
49	49	440/3	440/3	0.16666666666666666	2/3	2/3	Chord	6/8	2	1	1/24			1/16	2/3	803																	
49	49	881/6	881/6	0.16666666666666666	17/24	17/24	Chord	6/8	2	1	1/24			1/16	2/3	804																	
49	49	144	144	1.5	0	0	Chord	6/8	2	2	3/8			1/4	3/2	805																	
49	49	291/2	291/2	1.0	3/8	3/8	Chord	6/8	2	2	1/4			1/4	1	806																	
49	49	293/2	293/2	0.5	5/8	5/8	Chord	6/8	2	2	1/8			1/8	1	807																	
50	50	147	147	0.0	0	0	Dynamic	6/8	1	1	0						p																
50	50	147	147	0.0	0	0	Spanner	6/8	1	1	0																						
50	50	147	147	1.0	0	0	Chord	6/8	1	1	1/4			1/4	1	808																	
50	50	148	148	1.0	1/4	1/4	Chord	6/8	1	1	1/4			1/4	1	809																	
50	50	149	149	1.0	1/2	1/2	Chord	6/8	1	1	1/4			1/4	1	810																	
50	50	147	147	0.16666666666666666	0	0	Chord	6/8	2	1	1/24			1/16	2/3	811																	
50	50	883/6	883/6	0.16666666666666666	1/24	1/24	Chord	6/8	2	1	1/24			1/16	2/3	812																	
50	50	442/3	442/3	0.16666666666666666	1/12	1/12	Chord	6/8	2	1	1/24			1/16	2/3	813																	
50	50	295/2	295/2	0.16666666666666666	1/8	1/8	Chord	6/8	2	1	1/24			1/16	2/3	814																	
50	50	443/3	443/3	0.16666666666666666	1/6	1/6	Chord	6/8	2	1	1/24			1/16	2/3	815																	
50	50	887/6	887/6	0.16666666666666666	5/24	5/24	Chord	6/8	2	1	1/24			1/16	2/3	816																	
50	50	148	148	0.16666666666666666	1/4	1/4	Chord	6/8	2	1	1/24			1/16	2/3	817																	
50	50	889/6	889/6	0.16666666666666666	7/24	7/24	Chord	6/8	2	1	1/24			1/16	2/3	818																	
50	50	445/3	445/3	0.16666666666666666	1/3	1/3	Chord	6/8	2	1	1/24			1/16	2/3	819																	
50	50	297/2	297/2	0.16666666666666666	3/8	3/8	Chord	6/8	2	1	1/24			1/16	2/3	820																	
50	50	446/3	446/3	0.16666666666666666	5/12	5/12	Chord	6/8	2	1	1/24			1/16	2/3	821																	
50	50	893/6	893/6	0.16666666666666666	11/24	11/24	Chord	6/8	2	1	1/24			1/16	2/3	822																	
50	50	149	149	0.16666666666666666	1/2	1/2	Chord	6/8	2	1	1/24			1/16	2/3	823																	
50	50	895/6	895/6	0.16666666666666666	13/24	13/24	Chord	6/8	2	1	1/24			1/16	2/3	824																	
50	50	448/3	448/3	0.16666666666666666	7/12	7/12	Chord	6/8	2	1	1/24			1/16	2/3	825																	
50	50	299/2	299/2	0.16666666666666666	5/8	5/8	Chord	6/8	2	1	1/24			1/16	2/3	826																	
50	50	449/3	449/3	0.16666666666666666	2/3	2/3	Chord	6/8	2	1	1/24			1/16	2/3	827																	
50	50	899/6	899/6	0.16666666666666666	17/24	17/24	Chord	6/8	2	1	1/24			1/16	2/3	828																	
50	50	147	147	0.5	0	0	Chord	6/8	2	2	1/8			1/8	1	829									56								
50	50	295/2	295/2	0.5	1/8	1/8	Chord	6/8	2	2	1/8			1/8	1	830									56								
50	50	148	148	0.5	1/4	1/4	Chord	6/8	2	2	1/8			1/8	1	831																	
50	50	297/2	297/2	0.5	3/8	3/8	Chord	6/8	2	2	1/8			1/8	1	832									57								
50	50	149	149	0.5	1/2	1/2	Chord	6/8	2	2	1/8			1/8	1	833									57								
50	50	299/2	299/2	0.5	5/8	5/8	Chord	6/8	2	2	1/8			1/8	1	834																	
51	51	150	150	0.5	0	0	Chord	6/8	1	1	1/8			1/8	1	835																	
51	51	151	151	0.5	1/4	1/4	Chord	6/8	1	1	1/8			1/8	1	836																	
51	51	303/2	303/2	0.5	3/8	3/8	Chord	6/8	1	1	1/8			1/8	1	837																	
51	51	152	152	0.5	1/2	1/2	Chord	6/8	1	1	1/8			1/8	1	838																	
51	51	305/2	305/2	0.0	5/8	5/8	Spanner	6/8	1	1	0																				11		
51	51	305/2	305/2	0.16666666666666666	5/8	5/8	Chord	6/8	1	1	1/24			1/16	2/3	839									58						11		
51	51	458/3	458/3	0.0	2/3	2/3	Spanner	6/8	1	1	0														58					13	11		
51	51	458/3	458/3	0.16666666666666666	2/3	2/3	Chord	6/8	1	1	1/24			1/16	2/3	840									58					13	11		
51	51	917/6	917/6	0.0	17/24	17/24	Spanner	6/8	1	1	0																			13			
51	51	917/6	917/6	0.16666666666666666	17/24	17/24	Chord	6/8	1	1	1/24			1/16	2/3	841														13			
51	51	150	150	0.16666666666666666	0	0	Chord	6/8	2	1	1/24			1/16	2/3	842																	
51	51	901/6	901/6	0.16666666666666666	1/24	1/24	Chord	6/8	2	1	1/24			1/16	2/3	843																	
51	51	451/3	451/3	0.16666666666666666	1/12	1/12	Chord	6/8	2	1	1/24			1/16	2/3	844																	
51	51	301/2	301/2	0.16666666666666666	1/8	1/8	Chord	6/8	2	1	1/24			1/16	2/3	845																	
51	51	452/3	452/3	0.16666666666666666	1/6	1/6	Chord	6/8	2	1	1/24			1/16	2/3	846																	
51	51	905/6	905/6	0.16666666666666666	5/24	5/24	Chord	6/8	2	1	1/24			1/16	2/3	847																	
51	51	151	151	0.16666666666666666	1/4	1/4	Chord	6/8	2	1	1/24			1/16	2/3	848																	
51	51	907/6	907/6	0.16666666666666666	7/24	7/24	Chord	6/8	2	1	1/24			1/16	2/3	849																	
51	51	454/3	454/3	0.16666666666666666	1/3	1/3	Chord	6/8	2	1	1/24			1/16	2/3	850																	
51	51	303/2	303/2	0.16666666666666666	3/8	3/8	Chord	6/8	2	1	1/24			1/16	2/3	851																	
51	51	455/3	455/3	0.16666666666666666	5/12	5/12	Chord	6/8	2	1	1/24			1/16	2/3	852																	
51	51	911/6	911/6	0.16666666666666666	11/24	11/24	Chord	6/8	2	1	1/24			1/16	2/3	853																	
51	51	152	152	0.16666666666666666	1/2	1/2	Chord	6/8	2	1	1/24			1/16	2/3	854																	
51	51	913/6	913/6	0.16666666666666666	13/24	13/24	Chord	6/8	2	1	1/24			1/16	2/3	855																	
51	51	457/3	457/3	0.16666666666666666	7/12	7/12	Chord	6/8	2	1	1/24			1/16	2/3	856																	
51	51	305/2	305/2	0.16666666666666666	5/8	5/8	Chord	6/8	2	1	1/24			1/16	2/3	857																	
51	51	458/3	458/3	0.16666666666666666	2/3	2/3	Chord	6/8	2	1	1/24			1/16	2/3	858																	
51	51	917/6	917/6	0.16666666666666666	17/24	17/24	Chord	6/8	2	1	1/24			1/16	2/3	859																	
51	51	150	150	1.5	0	0	Chord	6/8	2	2	3/8			1/4	3/2	860																	
51	51	303/2	303/2	1.0	3/8	3/8	Chord	6/8	2	2	1/4			1/4	1	861																	
51	51	305/2	305/2	0.5	5/8	5/8	Chord	6/8	2	2	1/8			1/8	1	862																	
52	52	153	153	0.0	0	0	Spanner	6/8	1	1	0																						
52	52	153	153	0.0	0	0	Spanner	6/8	1	1	0																					7	
52	52	153	153	1.0	0	0	Chord	6/8	1	1	1/4			1/4	1	863																7	
52	52	154	154	1.0	1/4	1/4	Chord	6/8	1	1	1/4			1/4	1	864																7	
52	52	155	155	0.5	1/2	1/2	Chord	6/8	1	1	1/8			1/8	1	865																7	
52	52	311/2	311/2	0.16666666666666666	5/8	5/8	Chord	6/8	1	1	1/24			1/16	2/3	866																7	
52	52	467/3	467/3	0.16666666666666666	2/3	2/3	Chord	6/8	1	1	1/24			1/16	2/3	867																7	
52	52	935/6	935/6	0.0	17/24	17/24	Dynamic	6/8	1	1	0						mf															7	
52	52	935/6	935/6	0.16666666666666666	17/24	17/24	Chord	6/8	1	1	1/24			1/16	2/3	868																7	
52	52	153	153	0.16666666666666666	0	0	Chord	6/8	2	1	1/24			1/16	2/3	869																	
52	52	919/6	919/6	0.16666666666666666	1/24	1/24	Chord	6/8	2	1	1/24			1/16	2/3	870																	
52	52	460/3	460/3	0.16666666666666666	1/12	1/12	Chord	6/8	2	1	1/24			1/16	2/3	871																	
52	52	307/2	307/2	0.16666666666666666	1/8	1/8	Chord	6/8	2	1	1/24			1/16	2/3	872																	
52	52	461/3	461/3	0.16666666666666666	1/6	1/6	Chord	6/8	2	1	1/24			1/16	2/3	873																	
52	52	923/6	923/6	0.16666666666666666	5/24	5/24	Chord	6/8	2	1	1/24			1/16	2/3	874																	
52	52	154	154	0.16666666666666666	1/4	1/4	Chord	6/8	2	1	1/24			1/16	2/3	875																	
52	52	925/6	925/6	0.16666666666666666	7/24	7/24	Chord	6/8	2	1	1/24			1/16	2/3	876																	
52	52	463/3	463/3	0.16666666666666666	1/3	1/3	Chord	6/8	2	1	1/24			1/16	2/3	877																	
52	52	309/2	309/2	0.16666666666666666	3/8	3/8	Chord	6/8	2	1	1/24			1/16	2/3	878																	
52	52	464/3	464/3	0.16666666666666666	5/12	5/12	Chord	6/8	2	1	1/24			1/16	2/3	879																	
52	52	929/6	929/6	0.16666666666666666	11/24	11/24	Chord	6/8	2	1	1/24			1/16	2/3	880																	
52	52	155	155	0.16666666666666666	1/2	1/2	Chord	6/8	2	1	1/24			1/16	2/3	881																	
52	52	931/6	931/6	0.16666666666666666	13/24	13/24	Chord	6/8	2	1	1/24			1/16	2/3	882																	
52	52	466/3	466/3	0.16666666666666666	7/12	7/12	Chord	6/8	2	1	1/24			1/16	2/3	883																	
52	52	311/2	311/2	0.16666666666666666	5/8	5/8	Chord	6/8	2	1	1/24			1/16	2/3	884																	
52	52	467/3	467/3	0.16666666666666666	2/3	2/3	Chord	6/8	2	1	1/24			1/16	2/3	885																	
52	52	935/6	935/6	0.16666666666666666	17/24	17/24	Chord	6/8	2	1	1/24			1/16	2/3	886																	
52	52	153	153	0.5	0	0	Chord	6/8	2	2	1/8			1/8	1	887									59								
52	52	307/2	307/2	0.5	1/8	1/8	Chord	6/8	2	2	1/8			1/8	1	888									59								
52	52	154	154	0.5	1/4	1/4	Chord	6/8	2	2	1/8			1/8	1	889																	
52	52	309/2	309/2	0.5	3/8	3/8	Chord	6/8	2	2	1/8			1/8	1	890									60								
52	52	155	155	0.5	1/2	1/2	Chord	6/8	2	2	1/8			1/8	1	891									60								
52	52	311/2	311/2	0.5	5/8	5/8	Chord	6/8	2	2	1/8			1/8	1	892																	
53	53	156	156	0.0	0	0	Dynamic	6/8	1	1	0						p																
53	53	156	156	0.0	0	0	SystemText	6/8	1	1	0								"<i><font size=""12""/>[  ]</i>"														
53	53	156	156	0.0	0	0	Spanner	6/8	1	1	0																						
53	53	156	156	0.5	0	0	Chord	6/8	1	1	1/8			1/8	1	893																	
53	53	313/2	313/2	1.0	1/8	1/8	Chord	6/8	1	1	1/4			1/4	1	894																	
53	53	315/2	315/2	1.5	3/8	3/8	Chord	6/8	1	1	3/8			1/4	3/2	895																	
53	53	156	156	0.5	0	0	Chord	6/8	1	2	1/8			1/8	1	896																	
53	53	313/2	313/2	0.16666666666666666	1/8	1/8	Chord	6/8	1	2	1/24			1/16	2/3	897																	
53	53	470/3	470/3	0.16666666666666666	1/6	1/6	Chord	6/8	1	2	1/24			1/16	2/3	898																	
53	53	941/6	941/6	0.16666666666666666	5/24	5/24	Chord	6/8	1	2	1/24			1/16	2/3	899																	
53	53	157	157	0.16666666666666666	1/4	1/4	Chord	6/8	1	2	1/24			1/16	2/3	900																	
53	53	943/6	943/6	0.16666666666666666	7/24	7/24	Chord	6/8	1	2	1/24			1/16	2/3	901																	
53	53	472/3	472/3	0.16666666666666666	1/3	1/3	Chord	6/8	1	2	1/24			1/16	2/3	902																	
53	53	315/2	315/2	0.16666666666666666	3/8	3/8	Chord	6/8	1	2	1/24			1/16	2/3	903																	
53	53	473/3	473/3	0.16666666666666666	5/12	5/12	Chord	6/8	1	2	1/24			1/16	2/3	904																	
53	53	947/6	947/6	0.16666666666666666	11/24	11/24	Chord	6/8	1	2	1/24			1/16	2/3	905																	
53	53	158	158	0.16666666666666666	1/2	1/2	Chord	6/8	1	2	1/24			1/16	2/3	906																	
53	53	949/6	949/6	0.16666666666666666	13/24	13/24	Chord	6/8	1	2	1/24			1/16	2/3	907																	
53	53	475/3	475/3	0.16666666666666666	7/12	7/12	Chord	6/8	1	2	1/24			1/16	2/3	908																	
53	53	317/2	317/2	0.16666666666666666	5/8	5/8	Chord	6/8	1	2	1/24			1/16	2/3	909																	
53	53	476/3	476/3	0.16666666666666666	2/3	2/3	Chord	6/8	1	2	1/24			1/16	2/3	910																	
53	53	953/6	953/6	0.16666666666666666	17/24	17/24	Chord	6/8	1	2	1/24			1/16	2/3	911																	
53	53	156	156	0.16666666666666666	0	0	Chord	6/8	2	1	1/24			1/16	2/3	912																	
53	53	937/6	937/6	0.16666666666666666	1/24	1/24	Chord	6/8	2	1	1/24			1/16	2/3	913																	
53	53	469/3	469/3	0.16666666666666666	1/12	1/12	Chord	6/8	2	1	1/24			1/16	2/3	914																	
53	53	313/2	313/2	0.16666666666666666	1/8	1/8	Chord	6/8	2	1	1/24			1/16	2/3	915																	
53	53	470/3	470/3	0.16666666666666666	1/6	1/6	Chord	6/8	2	1	1/24			1/16	2/3	916																	
53	53	941/6	941/6	0.16666666666666666	5/24	5/24	Chord	6/8	2	1	1/24			1/16	2/3	917																	
53	53	157	157	0.16666666666666666	1/4	1/4	Chord	6/8	2	1	1/24			1/16	2/3	918																	
53	53	943/6	943/6	0.16666666666666666	7/24	7/24	Chord	6/8	2	1	1/24			1/16	2/3	919																	
53	53	472/3	472/3	0.16666666666666666	1/3	1/3	Chord	6/8	2	1	1/24			1/16	2/3	920																	
53	53	315/2	315/2	0.5	3/8	3/8	Chord	6/8	2	1	1/8			1/8	1	921																	
53	53	158	158	0.16666666666666666	1/2	1/2	Chord	6/8	2	1	1/24			1/16	2/3	922																	
53	53	949/6	949/6	0.16666666666666666	13/24	13/24	Chord	6/8	2	1	1/24			1/16	2/3	923																	
53	53	475/3	475/3	0.16666666666666666	7/12	7/12	Chord	6/8	2	1	1/24			1/16	2/3	924																	
53	53	317/2	317/2	0.16666666666666666	5/8	5/8	Chord	6/8	2	1	1/24			1/16	2/3	925																	
53	53	476/3	476/3	0.16666666666666666	2/3	2/3	Chord	6/8	2	1	1/24			1/16	2/3	926																	
53	53	953/6	953/6	0.16666666666666666	17/24	17/24	Chord	6/8	2	1	1/24			1/16	2/3	927																	
53	53	156	156	1.5	0	0	Chord	6/8	2	2	3/8			1/4	3/2	928																	
53	53	315/2	315/2	1.5	3/8	3/8	Chord	6/8	2	2	3/8			1/4	3/2	929																	
54	54	159	159	0.5	0	0	Chord	6/8	1	1	1/8			1/8	1	930																	
54	54	319/2	319/2	1.0	1/8	1/8	Chord	6/8	1	1	1/4			1/4	1	931																	
54	54	321/2	321/2	1.5	3/8	3/8	Chord	6/8	1	1	3/8			1/4	3/2	932																	
54	54	159	159	0.5	0	0	Chord	6/8	1	2	1/8			1/8	1	933																	
54	54	319/2	319/2	0.16666666666666666	1/8	1/8	Chord	6/8	1	2	1/24			1/16	2/3	934																	
54	54	479/3	479/3	0.16666666666666666	1/6	1/6	Chord	6/8	1	2	1/24			1/16	2/3	935																	
54	54	959/6	959/6	0.16666666666666666	5/24	5/24	Chord	6/8	1	2	1/24			1/16	2/3	936																	
54	54	160	160	0.16666666666666666	1/4	1/4	Chord	6/8	1	2	1/24			1/16	2/3	937																	
54	54	961/6	961/6	0.16666666666666666	7/24	7/24	Chord	6/8	1	2	1/24			1/16	2/3	938																	
54	54	481/3	481/3	0.16666666666666666	1/3	1/3	Chord	6/8	1	2	1/24			1/16	2/3	939																	
54	54	321/2	321/2	0.16666666666666666	3/8	3/8	Chord	6/8	1	2	1/24			1/16	2/3	940																	
54	54	482/3	482/3	0.16666666666666666	5/12	5/12	Chord	6/8	1	2	1/24			1/16	2/3	941																	
54	54	965/6	965/6	0.16666666666666666	11/24	11/24	Chord	6/8	1	2	1/24			1/16	2/3	942																	
54	54	161	161	0.16666666666666666	1/2	1/2	Chord	6/8	1	2	1/24			1/16	2/3	943																	
54	54	967/6	967/6	0.16666666666666666	13/24	13/24	Chord	6/8	1	2	1/24			1/16	2/3	944																	
54	54	484/3	484/3	0.16666666666666666	7/12	7/12	Chord	6/8	1	2	1/24			1/16	2/3	945																	
54	54	323/2	323/2	0.16666666666666666	5/8	5/8	Chord	6/8	1	2	1/24			1/16	2/3	946																	
54	54	485/3	485/3	0.16666666666666666	2/3	2/3	Chord	6/8	1	2	1/24			1/16	2/3	947																	
54	54	971/6	971/6	0.16666666666666666	17/24	17/24	Chord	6/8	1	2	1/24			1/16	2/3	948																	
54	54	159	159	0.16666666666666666	0	0	Chord	6/8	2	1	1/24			1/16	2/3	949																	
54	54	955/6	955/6	0.16666666666666666	1/24	1/24	Chord	6/8	2	1	1/24			1/16	2/3	950																	
54	54	478/3	478/3	0.16666666666666666	1/12	1/12	Chord	6/8	2	1	1/24			1/16	2/3	951																	
54	54	319/2	319/2	0.16666666666666666	1/8	1/8	Chord	6/8	2	1	1/24			1/16	2/3	952																	
54	54	479/3	479/3	0.16666666666666666	1/6	1/6	Chord	6/8	2	1	1/24			1/16	2/3	953																	
54	54	959/6	959/6	0.16666666666666666	5/24	5/24	Chord	6/8	2	1	1/24			1/16	2/3	954																	
54	54	160	160	0.16666666666666666	1/4	1/4	Chord	6/8	2	1	1/24			1/16	2/3	955																	
54	54	961/6	961/6	0.16666666666666666	7/24	7/24	Chord	6/8	2	1	1/24			1/16	2/3	956																	
54	54	481/3	481/3	0.16666666666666666	1/3	1/3	Chord	6/8	2	1	1/24			1/16	2/3	957																	
54	54	321/2	321/2	0.5	3/8	3/8	Chord	6/8	2	1	1/8			1/8	1	958																	
54	54	161	161	0.16666666666666666	1/2	1/2	Chord	6/8	2	1	1/24			1/16	2/3	959																	
54	54	967/6	967/6	0.16666666666666666	13/24	13/24	Chord	6/8	2	1	1/24			1/16	2/3	960																	
54	54	484/3	484/3	0.16666666666666666	7/12	7/12	Chord	6/8	2	1	1/24			1/16	2/3	961																	
